gene_oid	gene_length	percent_identity	query_start	query_end	subj_start	subj_end	evalue	bit_score	ko_id	ko_name	EC	img_ko_flag
637449074	394	100	1	394	1	394	0.0e+00	773.5	KO:K03885	NADH dehydrogenase [EC:1.6.99.3]	EC:1.6.99.3	Yes
637449077	234	100	1	234	1	234	0.0e+00	456.4	KO:K03499	trk system potassium uptake protein TrkA		Yes
637449081	540	100	1	540	1	540	0.0e+00	1056.2	KO:K06158	ATP-binding cassette, subfamily F, member 3		Yes
637449082	382	100	1	382	1	382	0.0e+00	747.7	KO:K01362			Yes
637449087	308	100	1	308	1	308	0.0e+00	600.9	KO:K07058	membrane protein		Yes
637449088	265	100	1	265	1	265	0.0e+00	531.2	KO:K01092	myo-inositol-1(or 4)-monophosphatase [EC:3.1.3.25]	EC:3.1.3.25	Yes
637449092	555	100	1	555	1	555	0.0e+00	1115.5	KO:K00278	L-aspartate oxidase [EC:1.4.3.16]	EC:1.4.3.16	Yes
637449094	454	100	1	454	1	454	0.0e+00	905.2	KO:K14441	ribosomal protein S12 methylthiotransferase [EC:2.-.-.-]	EC:2.-	Yes
637449097	384	100	1	384	1	384	0.0e+00	811.2	KO:K09919	hypothetical protein		Yes
637449098	220	100	1	220	1	220	0.0e+00	443.4	KO:K00082	5-amino-6-(5-phosphoribosylamino)uracil reductase [EC:1.1.1.193]	EC:1.1.1.193	Yes
637449099	308	100	1	308	1	308	0.0e+00	634	KO:K01737	6-pyruvoyltetrahydropterin/6-carboxytetrahydropterin synthase [EC:4.2.3.12 4.1.2.50]	EC:4.1.2.50	Yes
637449099	308	100	1	308	1	308	0.0e+00	634	KO:K01737	6-pyruvoyltetrahydropterin/6-carboxytetrahydropterin synthase [EC:4.2.3.12 4.1.2.50]	EC:4.2.3.12	Yes
637449100	185	100	1	185	1	185	0.0e+00	362.5	KO:K00891	shikimate kinase [EC:2.7.1.71]	EC:2.7.1.71	Yes
637449103	241	100	1	241	1	241	0.0e+00	479.2	KO:K00799	glutathione S-transferase [EC:2.5.1.18]	EC:2.5.1.18	Yes
637449105	132	100	1	132	1	132	0.0e+00	256.9	KO:K02834	ribosome-binding factor A		Yes
637449106	269	100	1	269	1	269	0.0e+00	531.9	KO:K01719	uroporphyrinogen-III synthase [EC:4.2.1.75]	EC:4.2.1.75	Yes
637449108	484	100	1	484	1	484	0.0e+00	978.8	KO:K00514	zeta-carotene desaturase [EC:1.3.5.6]	EC:1.3.5.6	Yes
637449113	310	100	1	310	1	310	0.0e+00	620.5	KO:K07071			Yes
637449115	225	100	1	225	1	225	0.0e+00	457.2	KO:K03686	molecular chaperone DnaJ		Yes
637449116	322	100	1	322	1	322	0.0e+00	628.2	KO:K01738	cysteine synthase A [EC:2.5.1.47]	EC:2.5.1.47	Yes
637449118	227	100	1	227	1	227	0.0e+00	456.1	KO:K16786	energy-coupling factor transport system ATP-binding protein [EC:3.6.3.-]	EC:3.6.3.-	Yes
637449122	251	100	1	251	1	251	0.0e+00	503.8	KO:K10697	two-component system, OmpR family, response regulator RpaA		Yes
637449123	319	100	1	319	1	319	0.0e+00	628.2	KO:K02341	DNA polymerase III subunit delta' [EC:2.7.7.7]	EC:2.7.7.7	Yes
637449124	214	100	1	214	1	214	0.0e+00	424.9	KO:K00943	dTMP kinase [EC:2.7.4.9]	EC:2.7.4.9	Yes
637449125	765	100	1	765	1	765	0.0e+00	1482.6	KO:K01533	Cu2+-exporting ATPase [EC:3.6.3.4]	EC:3.6.3.4	Yes
637449127	450	100	1	450	1	450	0.0e+00	877.1	KO:K04485	DNA repair protein RadA/Sms		Yes
637449128	248	100	1	248	1	248	0.0e+00	487.3	KO:K11329	two-component system, OmpR family, response regulator RpaB		Yes
637449129	466	100	1	466	1	466	0.0e+00	899	KO:K03621	glycerol-3-phosphate acyltransferase PlsX [EC:2.3.1.15]	EC:2.3.1.15	Yes
637449130	335	100	1	335	1	335	0.0e+00	657.1	KO:K00648	3-oxoacyl-[acyl-carrier-protein] synthase III [EC:2.3.1.180]	EC:2.3.1.180	Yes
637449131	298	100	1	298	1	298	0.0e+00	590.5	KO:K00645	[acyl-carrier-protein] S-malonyltransferase [EC:2.3.1.39]	EC:2.3.1.39	Yes
637449132	206	100	1	206	1	206	0.0e+00	409.5	KO:K00655	1-acyl-sn-glycerol-3-phosphate acyltransferase [EC:2.3.1.51]	EC:2.3.1.51	Yes
637449135	415	100	1	415	1	415	0.0e+00	819.3	KO:K00974	tRNA nucleotidyltransferase (CCA-adding enzyme) [EC:2.7.7.72 3.1.3.- 3.1.4.-]	EC:2.7.7.72	Yes
637449135	415	100	1	415	1	415	0.0e+00	819.3	KO:K00974	tRNA nucleotidyltransferase (CCA-adding enzyme) [EC:2.7.7.72 3.1.3.- 3.1.4.-]	EC:3.1.3.-	Yes
637449135	415	100	1	415	1	415	0.0e+00	819.3	KO:K00974	tRNA nucleotidyltransferase (CCA-adding enzyme) [EC:2.7.7.72 3.1.3.- 3.1.4.-]	EC:3.1.4.-	Yes
637449137	302	100	1	302	1	302	0.0e+00	615.9	KO:K02291	phytoene synthase [EC:2.5.1.32]	EC:2.5.1.32	Yes
637449138	473	100	1	473	1	473	0.0e+00	959.9	KO:K02293	15-cis-phytoene desaturase [EC:1.3.5.5]	EC:1.3.5.5	Yes
637449139	115	100	1	115	1	115	0.0e+00	233.8	KO:K05584	NAD(P)H-quinone oxidoreductase subunit M [EC:1.6.5.3]	EC:1.6.5.3	Yes
637449143	670	100	1	670	1	670	0.0e+00	1323.5	KO:K05577	NAD(P)H-quinone oxidoreductase subunit 5 [EC:1.6.5.3]	EC:1.6.5.3	Yes
637449144	546	100	1	546	1	546	0.0e+00	1078.5	KO:K05575	NAD(P)H-quinone oxidoreductase subunit 4 [EC:1.6.5.3]	EC:1.6.5.3	Yes
637449145	237	100	1	237	1	237	0.0e+00	466.1	KO:K05896	segregation and condensation protein A		Yes
637449146	392	100	1	392	1	392	0.0e+00	790	KO:K00966	mannose-1-phosphate guanylyltransferase [EC:2.7.7.13]	EC:2.7.7.13	Yes
637449147	296	91.6	1	296	1	296	0.0e+00	535	KO:K00297	methylenetetrahydrofolate reductase (NADPH) [EC:1.5.1.20]	EC:1.5.1.20	Yes
637449150	299	100	1	299	1	299	0.0e+00	599.4	KO:K00858	NAD+ kinase [EC:2.7.1.23]	EC:2.7.1.23	Yes
637449151	106	100	1	106	1	106	0.0e+00	203.4	KO:K05576	NAD(P)H-quinone oxidoreductase subunit 4L [EC:1.6.5.3]	EC:1.6.5.3	Yes
637449152	199	100	1	199	1	199	0.0e+00	371.3	KO:K05578	NAD(P)H-quinone oxidoreductase subunit 6 [EC:1.6.5.3]	EC:1.6.5.3	Yes
637449153	208	100	1	208	1	208	0.0e+00	444.9	KO:K05580	NAD(P)H-quinone oxidoreductase subunit I [EC:1.6.5.3]	EC:1.6.5.3	Yes
637449154	372	100	1	372	1	372	0.0e+00	722.6	KO:K05572	NAD(P)H-quinone oxidoreductase subunit 1 [EC:1.6.5.3]	EC:1.6.5.3	Yes
637449155	381	100	1	381	1	381	0.0e+00	758.8	KO:K01647	citrate synthase [EC:2.3.3.1]	EC:2.3.3.1	Yes
637449158	414	100	1	414	1	414	0.0e+00	826.6	KO:K01696	tryptophan synthase beta chain [EC:4.2.1.20]	EC:4.2.1.20	Yes
637449159	103	100	1	103	1	103	0.0e+00	206.5	KO:K03113	translation initiation factor 1		Yes
637449160	208	100	1	208	1	208	0.0e+00	419.5	KO:K00860	adenylylsulfate kinase [EC:2.7.1.25]	EC:2.7.1.25	Yes
637449161	163	100	1	163	1	163	0.0e+00	315.1	KO:K01588	5-(carboxyamino)imidazole ribonucleotide mutase [EC:5.4.99.18]	EC:5.4.99.18	Yes
637449162	233	100	1	233	1	233	0.0e+00	465.7	KO:K03428	magnesium-protoporphyrin O-methyltransferase [EC:2.1.1.11]	EC:2.1.1.11	Yes
637449164	382	100	1	382	1	382	0.0e+00	745	KO:K04487	cysteine desulfurase [EC:2.8.1.7]	EC:2.8.1.7	Yes
637449165	300	100	1	300	1	300	0.0e+00	595.1	KO:K03438	16S rRNA (cytosine1402-N4)-methyltransferase [EC:2.1.1.199]	EC:2.1.1.199	Yes
637449166	395	100	1	395	1	395	0.0e+00	810.1	KO:K05579	NAD(P)H-quinone oxidoreductase subunit H [EC:1.6.5.3]	EC:1.6.5.3	Yes
637449167	150	100	1	150	1	150	0.0e+00	317.4	KO:K12073	1,4-dihydroxy-2-naphthoyl-CoA hydrolase [EC:3.1.2.28]	EC:3.1.2.28	Yes
637449168	405	100	1	405	1	405	0.0e+00	810.8	KO:K01911	O-succinylbenzoic acid--CoA ligase [EC:6.2.1.26]	EC:6.2.1.26	Yes
637449169	321	100	1	321	1	321	0.0e+00	652.1	KO:K02549	O-succinylbenzoate synthase [EC:4.2.1.113]	EC:4.2.1.113	Yes
637449170	305	100	1	305	1	305	0.0e+00	608.2	KO:K02548	1,4-dihydroxy-2-naphthoate octaprenyltransferase [EC:2.5.1.74 2.5.1.-]	EC:2.5.1.-	Yes
637449170	305	100	1	305	1	305	0.0e+00	608.2	KO:K02548	1,4-dihydroxy-2-naphthoate octaprenyltransferase [EC:2.5.1.74 2.5.1.-]	EC:2.5.1.74	Yes
637449171	465	100	1	465	1	465	0.0e+00	924.8	KO:K02552	menaquinone-specific isochorismate synthase [EC:5.4.4.2]	EC:5.4.4.2	Yes
637449172	307	100	1	307	1	307	0.0e+00	614	KO:K01920	glutathione synthase [EC:6.3.2.3]	EC:6.3.2.3	Yes
637449173	84	100	1	84	1	84	2.0e-43	176	KO:K03676	glutaredoxin 3		Yes
637449174	373	100	1	373	1	373	0.0e+00	738.4	KO:K02836	peptide chain release factor 2		Yes
637449176	180	100	1	180	1	180	0.0e+00	370.5	KO:K07042	probable rRNA maturation factor		Yes
637449177	138	100	1	138	1	138	0.0e+00	261.9	KO:K00901	diacylglycerol kinase (ATP dependent) [EC:2.7.1.107]	EC:2.7.1.107	Yes
637449178	198	100	1	198	1	198	0.0e+00	399.1	KO:K01664	para-aminobenzoate synthetase component II [EC:2.6.1.85]	EC:2.6.1.85	Yes
637449180	369	100	1	369	1	369	0.0e+00	737.3	KO:K00817	histidinol-phosphate aminotransferase [EC:2.6.1.9]	EC:2.6.1.9	Yes
637449181	603	100	1	603	1	603	0.0e+00	1194.9	KO:K01887	arginyl-tRNA synthetase [EC:6.1.1.19]	EC:6.1.1.19	Yes
637449182	288	100	1	288	1	288	0.0e+00	571.2	KO:K00767	nicotinate-nucleotide pyrophosphorylase (carboxylating) [EC:2.4.2.19]	EC:2.4.2.19	Yes
637449183	460	100	1	460	1	460	0.0e+00	891	KO:K03650	tRNA modification GTPase [EC:3.6.-.-]	EC:3.6.-	Yes
637449184	150	100	1	150	1	150	0.0e+00	300.1	KO:K09928	hypothetical protein		Yes
637449185	769	100	1	769	1	769	0.0e+00	1525.4	KO:K01139	guanosine-3',5'-bis(diphosphate) 3'-pyrophosphohydrolase [EC:3.1.7.2]	EC:3.1.7.2	Yes
637449186	531	100	1	531	1	531	0.0e+00	1042.7	KO:K02032	peptide/nickel transport system ATP-binding protein		Yes
637449187	322	100	1	322	1	322	0.0e+00	657.1	KO:K06180	23S rRNA pseudouridine1911/1915/1917 synthase [EC:5.4.99.23]	EC:5.4.99.23	Yes
637449188	288	100	1	288	1	288	0.0e+00	581.3	KO:K14540	ribosome biogenesis GTPase A		Yes
637449189	402	100	1	402	1	402	0.0e+00	776.9	KO:K00927	phosphoglycerate kinase [EC:2.7.2.3]	EC:2.7.2.3	Yes
637449191	364	100	1	364	1	364	0.0e+00	728.4	KO:K02563	UDP-N-acetylglucosamine--N-acetylmuramyl-(pentapeptide) pyrophosphoryl-undecaprenol N-acetylglucosamine transferase [EC:2.4.1.227]	EC:2.4.1.227	Yes
637449193	389	100	1	389	1	389	0.0e+00	786.2	KO:K00254	dihydroorotate dehydrogenase [EC:1.3.5.2]	EC:1.3.5.2	Yes
637449194	240	100	1	240	1	240	0.0e+00	489.6	KO:K03469	ribonuclease HI [EC:3.1.26.4]	EC:3.1.26.4	Yes
637449195	131	100	1	131	1	131	0.0e+00	245	KO:K02935	large subunit ribosomal protein L7/L12		Yes
637449196	175	100	1	175	1	175	0.0e+00	332	KO:K02864	large subunit ribosomal protein L10		Yes
637449197	235	100	1	235	1	235	0.0e+00	461.8	KO:K02863	large subunit ribosomal protein L1		Yes
637449198	141	100	1	141	1	141	0.0e+00	274.6	KO:K02867	large subunit ribosomal protein L11		Yes
637449199	203	100	1	203	1	203	0.0e+00	394.4	KO:K02601	transcriptional antiterminator NusG		Yes
637449200	79	100	1	79	1	79	6.9e-38	157.5	KO:K03073	preprotein translocase subunit SecE		Yes
637449202	430	100	1	430	1	430	0.0e+00	834.7	KO:K01689	enolase [EC:4.2.1.11]	EC:4.2.1.11	Yes
637449205	318	100	1	318	1	318	0.0e+00	639.8	KO:K00384	thioredoxin reductase (NADPH) [EC:1.8.1.9]	EC:1.8.1.9	Yes
637449207	332	100	1	332	1	332	0.0e+00	636.7	KO:K07086			Yes
637449208	551	100	1	551	1	551	0.0e+00	1050.4	KO:K03321	sulfate permease, SulP family		Yes
637449209	333	100	1	333	1	333	0.0e+00	668.3	KO:K01698	porphobilinogen synthase [EC:4.2.1.24]	EC:4.2.1.24	Yes
637449211	803	100	1	803	1	803	0.0e+00	1563.1	KO:K07456	DNA mismatch repair protein MutS2		Yes
637449212	327	100	1	327	1	327	0.0e+00	646.7	KO:K03979	GTP-binding protein		Yes
637449215	315	100	1	315	1	315	0.0e+00	655.2	KO:K07393	putative glutathione S-transferase		Yes
637449216	295	100	1	295	1	295	0.0e+00	606.7	KO:K01437	aspartoacylase [EC:3.5.1.15]	EC:3.5.1.15	Yes
637449217	360	100	1	360	1	360	0.0e+00	744.6	KO:K02703	photosystem II P680 reaction center D1 protein		Yes
637449218	364	100	1	364	1	364	0.0e+00	724.2	KO:K01736	chorismate synthase [EC:4.2.3.5]	EC:4.2.3.5	Yes
637449219	213	100	1	213	1	213	0.0e+00	428.3	KO:K01625	2-dehydro-3-deoxyphosphogluconate aldolase / (4S)-4-hydroxy-2-oxoglutarate aldolase [EC:4.1.2.14 4.1.3.42]	EC:4.1.2.14	Yes
637449219	213	100	1	213	1	213	0.0e+00	428.3	KO:K01625	2-dehydro-3-deoxyphosphogluconate aldolase / (4S)-4-hydroxy-2-oxoglutarate aldolase [EC:4.1.2.14 4.1.3.42]	EC:4.1.3.42	Yes
637449220	618	100	1	618	1	618	0.0e+00	1197.2	KO:K03798	cell division protease FtsH [EC:3.4.24.-]	EC:3.4.24.-	Yes
637449221	391	100	1	391	1	391	0.0e+00	798.5	KO:K00958	sulfate adenylyltransferase [EC:2.7.7.4]	EC:2.7.7.4	Yes
637449222	264	100	1	264	1	264	0.0e+00	523.1	KO:K02716	photosystem II oxygen-evolving enhancer protein 1		Yes
637449223	418	100	1	418	1	418	0.0e+00	827	KO:K13038	phosphopantothenoylcysteine decarboxylase / phosphopantothenate--cysteine ligase [EC:4.1.1.36 6.3.2.5]	EC:4.1.1.36	Yes
637449223	418	100	1	418	1	418	0.0e+00	827	KO:K13038	phosphopantothenoylcysteine decarboxylase / phosphopantothenate--cysteine ligase [EC:4.1.1.36 6.3.2.5]	EC:6.3.2.5	Yes
637449227	338	100	1	338	1	338	0.0e+00	661	KO:K00609	aspartate carbamoyltransferase catalytic subunit [EC:2.1.3.2]	EC:2.1.3.2	Yes
637449228	165	100	1	165	1	165	0.0e+00	338.2	KO:K03652	DNA-3-methyladenine glycosylase [EC:3.2.2.21]	EC:3.2.2.21	Yes
637449229	97	100	1	97	1	97	0.0e+00	189.9	KO:K02435	aspartyl-tRNA(Asn)/glutamyl-tRNA(Gln) amidotransferase subunit C [EC:6.3.5.6 6.3.5.7]	EC:6.3.5.6	Yes
637449229	97	100	1	97	1	97	0.0e+00	189.9	KO:K02435	aspartyl-tRNA(Asn)/glutamyl-tRNA(Gln) amidotransferase subunit C [EC:6.3.5.6 6.3.5.7]	EC:6.3.5.7	Yes
637449232	965	100	1	965	1	965	0.0e+00	1990.3	KO:K01870	isoleucyl-tRNA synthetase [EC:6.1.1.5]	EC:6.1.1.5	Yes
637449234	209	100	1	209	1	209	0.0e+00	427.9	KO:K03439	tRNA (guanine-N7-)-methyltransferase [EC:2.1.1.33]	EC:2.1.1.33	Yes
637449235	452	100	1	452	1	452	0.0e+00	901	KO:K03431	phosphoglucosamine mutase [EC:5.4.2.10]	EC:5.4.2.10	Yes
637449237	212	100	1	212	1	212	0.0e+00	431.8	KO:K03465	thymidylate synthase (FAD) [EC:2.1.1.148]	EC:2.1.1.148	Yes
637449238	197	100	1	197	1	197	0.0e+00	409.8	KO:K01494	dCTP deaminase [EC:3.5.4.13]	EC:3.5.4.13	Yes
637449239	191	100	1	191	1	191	0.0e+00	373.6	KO:K00798	cob(I)alamin adenosyltransferase [EC:2.5.1.17]	EC:2.5.1.17	Yes
637449240	244	100	1	244	1	244	0.0e+00	465.3	KO:K01420	CRP/FNR family transcriptional regulator, anaerobic regulatory protein		Yes
637449244	203	100	1	203	1	203	0.0e+00	411.8	KO:K01056	peptidyl-tRNA hydrolase, PTH1 family [EC:3.1.1.29]	EC:3.1.1.29	Yes
637449245	66	100	1	66	1	66	1.2e-30	133.3	KO:K02709	photosystem II PsbH protein		Yes
637449246	58	100	9	58	1	50	3.0e-22	105.1	KO:K02715	PsbN protein		Yes
637449247	42	100	1	42	1	42	6.1e-17	87	KO:K02710	photosystem II PsbI protein		Yes
637449249	206	100	1	206	1	206	0.0e+00	416.4	KO:K01704	3-isopropylmalate/(R)-2-methylmalate dehydratase small subunit [EC:4.2.1.33 4.2.1.35]	EC:4.2.1.33	Yes
637449249	206	100	1	206	1	206	0.0e+00	416.4	KO:K01704	3-isopropylmalate/(R)-2-methylmalate dehydratase small subunit [EC:4.2.1.33 4.2.1.35]	EC:4.2.1.35	Yes
637449250	469	100	1	469	1	469	0.0e+00	952.2	KO:K01703	3-isopropylmalate/(R)-2-methylmalate dehydratase large subunit [EC:4.2.1.33 4.2.1.35]	EC:4.2.1.33	Yes
637449250	469	100	1	469	1	469	0.0e+00	952.2	KO:K01703	3-isopropylmalate/(R)-2-methylmalate dehydratase large subunit [EC:4.2.1.33 4.2.1.35]	EC:4.2.1.35	Yes
637449251	433	100	1	433	1	433	0.0e+00	845.5	KO:K03742	competence/damage-inducible protein CinA		Yes
637449252	423	100	1	423	1	423	0.0e+00	844.3	KO:K00600	glycine hydroxymethyltransferase [EC:2.1.2.1]	EC:2.1.2.1	Yes
637449256	526	100	1	526	1	526	0.0e+00	1030.8	KO:K03980	virulence factor		Yes
637449257	248	100	1	248	1	248	0.0e+00	507.7	KO:K06206	sugar fermentation stimulation protein A		Yes
637449258	486	100	1	486	1	486	0.0e+00	973	KO:K03320	ammonium transporter, Amt family		Yes
637449259	398	100	1	398	1	398	0.0e+00	804.3	KO:K03527	4-hydroxy-3-methylbut-2-enyl diphosphate reductase [EC:1.17.1.2]	EC:1.17.1.2	Yes
637449261	517	100	1	517	1	517	0.0e+00	1028.1	KO:K00602	phosphoribosylaminoimidazolecarboxamide formyltransferase / IMP cyclohydrolase [EC:2.1.2.3 3.5.4.10]	EC:2.1.2.3	Yes
637449261	517	100	1	517	1	517	0.0e+00	1028.1	KO:K00602	phosphoribosylaminoimidazolecarboxamide formyltransferase / IMP cyclohydrolase [EC:2.1.2.3 3.5.4.10]	EC:3.5.4.10	Yes
637449262	205	100	1	205	1	205	0.0e+00	420.6	KO:K06999	phospholipase/carboxylesterase		Yes
637449264	378	100	1	378	1	378	0.0e+00	741.1	KO:K00936			Yes
