gene_oid	gene_length	query_start	query_end	evalue	bit_score	tigrfam_id	tigrfam_name
637449090	470	27	459	0.0e+00	678.1	TIGR03279	putative radical SAM enzyme, TIGR03279 family
637449092	555	14	530	0.0e+00	527.1	TIGR00551	L-aspartate oxidase
637449094	454	15	448	0.0e+00	445.8	TIGR00089	radical SAM methylthiotransferase, MiaB/RimO family
637449094	454	15	448	0.0e+00	561	TIGR01125	ribosomal protein S12 methylthiotransferase RimO
637449098	220	2	213	3.3e-29	88	TIGR00227	riboflavin-specific deaminase C-terminal domain
637449099	308	153	291	1.7e-29	89.8	TIGR00039	6-pyruvoyl tetrahydropterin synthase/QueD family protein
637449105	132	1	117	3.2e-29	88	TIGR00082	ribosome-binding factor A
637449108	484	2	471	0.0e+00	928.5	TIGR02732	9,9'-di-cis-zeta-carotene desaturase
637449109	130	19	130	1.8e-36	110.8	TIGR00049	Iron-sulfur cluster assembly accessory protein
637449111	399	5	396	1.8e-112	361.8	TIGR03492	conserved hypothetical protein
637449113	310	3	304	8.7e-97	310.2	TIGR01777	TIGR01777 family protein
637449116	322	7	308	0.0e+00	425.8	TIGR01139	cysteine synthase A
637449116	322	7	308	5.0e-129	416.9	TIGR01136	cysteine synthase
637449124	214	1	200	5.8e-53	165.5	TIGR00041	dTMP kinase
637449125	765	158	764	0.0e+00	567.8	TIGR01525	heavy metal translocating P-type ATPase
637449125	765	193	372	3.5e-25	76.3	TIGR01494	ATPase, P-type (transporting), HAD superfamily, subfamily IC
637449127	450	1	444	0.0e+00	531.9	TIGR00416	DNA repair protein RadA
637449129	466	124	464	3.3e-112	360.9	TIGR00182	fatty acid/phospholipid synthesis protein PlsX
637449130	335	9	334	1.2e-108	348.9	TIGR00747	3-oxoacyl-(acyl-carrier-protein) synthase III
637449131	298	1	285	1.7e-83	266.4	TIGR00128	malonyl CoA-acyl carrier protein transacylase
637449132	206	28	153	1.5e-33	101.4	TIGR00530	1-acyl-sn-glycerol-3-phosphate acyltransferases
637449138	473	2	455	0.0e+00	870.7	TIGR02731	phytoene desaturase
637449143	670	6	663	0.0e+00	641.5	TIGR01974	proton-translocating NADH-quinone oxidoreductase, chain L
637449144	546	27	518	0.0e+00	551.4	TIGR01972	proton-translocating NADH-quinone oxidoreductase, chain M
637449153	208	1	186	5.4e-98	313	TIGR00403	NADH-plastoquinone oxidoreductase subunit I protein
637449153	208	25	142	5.8e-43	132.5	TIGR01971	NADH-quinone oxidoreductase, chain I
637449155	381	10	380	0.0e+00	439	TIGR01800	2-methylcitrate synthase/citrate synthase II
637449158	414	23	411	0.0e+00	619.6	TIGR00263	tryptophan synthase, beta subunit
637449160	208	15	199	2.6e-83	264.3	TIGR00455	adenylyl-sulfate kinase
637449161	163	1	152	2.5e-67	211.3	TIGR01162	phosphoribosylaminoimidazole carboxylase, PurE protein
637449162	233	8	229	1.9e-66	209.7	TIGR02021	magnesium protoporphyrin O-methyltransferase
637449165	300	7	300	3.9e-92	294.9	TIGR00006	16S rRNA (cytosine(1402)-N(4))-methyltransferase
637449170	305	8	299	0.0e+00	454.3	TIGR02235	1,4-dihydroxy-2-naphthoate phytyltransferase
637449171	465	111	458	7.8e-74	234.9	TIGR00543	isochorismate synthases
637449172	307	1	307	1.5e-109	351.7	TIGR01380	glutathione synthetase, prokaryotic
637449173	84	4	83	2.5e-40	122.9	TIGR02181	Glutaredoxin, GrxC family
637449174	373	1	366	1.0e-130	421.9	TIGR00020	peptide chain release factor 2
637449176	180	70	180	9.0e-36	108.6	TIGR00043	probable rRNA maturation factor YbeY
637449178	198	1	194	8.0e-75	237.9	TIGR00566	glutamine amidotransferase of anthranilate synthase or aminodeoxychorismate synthase
637449178	198	2	198	1.5e-37	115.9	TIGR00888	GMP synthase (glutamine-hydrolyzing), N-terminal domain or A subunit
637449180	369	15	365	8.6e-78	247.6	TIGR01141	histidinol-phosphate aminotransferase
637449181	603	8	603	0.0e+00	528.7	TIGR00456	arginyl-tRNA synthetase
637449182	288	11	286	7.1e-84	267.2	TIGR00078	nicotinate-nucleotide pyrophosphorylase
637449183	460	17	460	9.2e-128	414	TIGR00450	tRNA modification GTPase TrmE
637449183	460	225	382	2.0e-26	79.8	TIGR00231	small GTP-binding protein domain
637449185	769	66	765	0.0e+00	806	TIGR00691	(p)ppGpp synthetase, RelA/SpoT family
637449187	322	22	317	2.0e-89	285.8	TIGR00005	pseudouridine synthase, RluA family
637449188	288	6	285	6.1e-93	298.1	TIGR03596	ribosome biogenesis GTP-binding protein YlqF
637449191	364	1	357	4.3e-77	246.4	TIGR01133	undecaprenyldiphospho-muramoylpentapeptide beta-N-acetylglucosaminyltransferase
637449191	364	7	323	1.0e-14	41.5	TIGR00661	conserved hypothetical protein
637449193	389	18	386	3.0e-115	370.7	TIGR01036	dihydroorotate dehydrogenase, subfamily 2
637449195	131	1	131	4.6e-47	145.7	TIGR00855	ribosomal protein L7/L12
637449197	235	3	228	7.2e-103	328.9	TIGR01169	ribosomal protein L1, bacterial/chloroplast
637449198	141	3	141	1.2e-65	205.9	TIGR01632	50S ribosomal protein L11
637449199	203	21	202	3.9e-57	178.9	TIGR00922	transcription termination/antitermination factor NusG
637449200	79	23	79	1.8e-20	58.9	TIGR00964	preprotein translocase, SecE subunit, bacterial
637449202	430	9	425	0.0e+00	655.3	TIGR01060	phosphopyruvate hydratase
637449205	318	6	305	4.2e-95	304	TIGR01292	thioredoxin-disulfide reductase
637449211	803	16	803	0.0e+00	587.6	TIGR01069	MutS2 family protein
637449212	327	159	323	1.0e-14	41.7	TIGR00231	small GTP-binding protein domain
637449212	327	3	327	0.0e+00	445	TIGR02729	Obg family GTPase CgtA
637449217	360	1	360	0.0e+00	744.8	TIGR01151	photosystem II, DI subunit (also called Q(B))
637449218	364	9	360	0.0e+00	464.1	TIGR00033	chorismate synthase
637449220	618	105	608	0.0e+00	782.8	TIGR01241	ATP-dependent metalloprotease FtsH
637449221	391	17	390	8.8e-130	418.8	TIGR00339	ATP sulphurylase
637449223	418	8	414	3.1e-106	341.6	TIGR00521	phosphopantothenoylcysteine decarboxylase / phosphopantothenate--cysteine ligase
637449227	338	7	335	3.6e-90	288.1	TIGR00670	aspartate carbamoyltransferase
637449228	165	1	143	3.3e-36	110.7	TIGR00567	DNA-3-methyladenine glycosylase (3mg)
637449229	97	4	96	1.0e-29	89	TIGR00135	aspartyl/glutamyl-tRNA(Asn/Gln) amidotransferase, C subunit
637449232	965	25	873	0.0e+00	947.8	TIGR00392	isoleucyl-tRNA synthetase
637449234	209	16	209	6.9e-48	148.6	TIGR00091	tRNA (guanine-N(7)-)-methyltransferase
637449235	452	5	443	0.0e+00	435.2	TIGR01455	phosphoglucosamine mutase
637449237	212	3	209	6.2e-56	175.3	TIGR02170	thymidylate synthase, flavin-dependent
637449238	197	5	197	2.3e-39	121	TIGR02274	deoxycytidine triphosphate deaminase
637449240	244	52	244	1.8e-113	363	TIGR03697	global nitrogen regulator NtcA, cyanobacterial
637449244	203	5	199	6.1e-57	178.4	TIGR00447	aminoacyl-tRNA hydrolase
637449249	206	9	190	3.4e-39	120.7	TIGR00171	3-isopropylmalate dehydratase, small subunit
637449250	469	2	466	0.0e+00	602.3	TIGR00170	3-isopropylmalate dehydratase, large subunit
637449251	433	14	431	2.1e-122	396.3	TIGR00200	competence/damage-inducible protein CinA N-terminal domain
637449251	433	16	181	1.1e-28	87.7	TIGR00177	molybdenum cofactor synthesis domain
637449251	433	278	428	9.1e-48	149.8	TIGR00199	amidohydrolase, PncC family
637449256	526	3	525	9.5e-90	287.6	TIGR01695	murein biosynthesis integral membrane protein MurJ
637449257	248	3	247	9.2e-71	223.9	TIGR00230	sugar fermentation stimulation protein
637449258	486	76	479	4.1e-129	417	TIGR00836	ammonium transporter
637449259	398	56	396	3.3e-94	301.2	TIGR00216	(E)-4-hydroxy-3-methyl-but-2-enyl pyrophosphate reductase (IPP and DMAPP forming)
637449261	517	3	517	0.0e+00	616.4	TIGR00355	phosphoribosylaminoimidazolecarboxamide formyltransferase/IMP cyclohydrolase
637449266	372	4	368	0.0e+00	475.6	TIGR00449	tRNA-guanine family transglycosylase
637449266	372	4	368	0.0e+00	493.1	TIGR00430	tRNA-guanine transglycosylase
637449271	186	17	185	6.7e-41	126	TIGR00336	orotate phosphoribosyltransferase
637449272	282	144	208	3.3e-23	67.7	TIGR03317	folate-binding protein YgfZ
637449273	472	5	468	0.0e+00	543.3	TIGR03491	RecB family nuclease, putative, TM0106 family
637449275	191	3	187	3.4e-59	185.4	TIGR00042	non-canonical purine NTP pyrophosphatase, RdgB/HAM1 family
637449283	187	46	172	2.9e-24	71.8	TIGR01498	2-amino-4-hydroxy-6-hydroxymethyldihydropteridine diphosphokinase
637449284	720	35	710	0.0e+00	726	TIGR02031	magnesium chelatase ATPase subunit D
637449287	440	119	434	8.9e-113	362.8	TIGR01826	conserved hypothetical protein, cofD-related
637449289	244	33	177	3.1e-70	220.9	TIGR01957	NADH-quinone oxidoreductase, B subunit
637449293	84	5	84	5.1e-41	124.9	TIGR01332	cytochrome b559, alpha subunit
637449294	47	3	47	3.1e-26	77	TIGR01333	cytochrome b559, beta subunit
637449297	307	21	265	3.8e-97	310.3	TIGR01694	5'-deoxy-5'-methylthioadenosine phosphorylase
637449298	730	13	356	7.5e-106	341.3	TIGR03169	pyridine nucleotide-disulfide oxidoreductase family protein
637449298	730	362	700	4.5e-29	88.4	TIGR00476	selenium donor protein
637449300	802	8	799	0.0e+00	866.9	TIGR01073	ATP-dependent DNA helicase PcrA
637449308	413	5	408	0.0e+00	535.1	TIGR01034	S-adenosylmethionine synthetase
637449310	159	1	147	1.2e-61	193.2	TIGR00244	transcriptional regulator NrdR
637449312	507	1	501	0.0e+00	1029.5	TIGR03039	photosystem II chlorophyll-binding protein CP47
637449314	50	1	33	5.4e-22	63.6	TIGR03038	photosystem II reaction center protein PsbM
637449315	289	26	285	1.2e-70	224.8	TIGR03534	protein-(glutamine-N5) methyltransferase, release factor-specific
637449315	289	5	289	3.0e-64	203.8	TIGR00536	HemK family putative methylases
637449316	194	3	193	1.5e-29	88.7	TIGR00057	tRNA threonylcarbamoyl adenosine modification protein, Sua5/YciO/YrdC/YwlC family
637449318	106	5	88	8.6e-30	88.9	TIGR01215	cell division topological specificity factor MinE
637449319	271	5	266	4.3e-107	343.3	TIGR01968	septum site-determining protein MinD
637449320	220	17	214	7.8e-26	77.2	TIGR01222	septum site-determining protein MinC
637449322	429	69	404	2.4e-97	312	TIGR00225	C-terminal peptidase (prc)
637449324	160	1	160	4.0e-98	311.9	TIGR01156	cytochrome b6/f complex subunit IV
637449332	292	1	291	3.3e-92	294.7	TIGR00577	DNA-formamidopyrimidine glycosylase
637449342	99	3	97	1.6e-50	155.8	TIGR03894	conserved hypothetical protein, TIGR03894 family
637449345	71	1	64	3.6e-13	35.8	TIGR03798	nif11-like leader peptide domain
637449347	96	4	95	3.5e-16	46.7	TIGR01410	twin arginine-targeting protein translocase TatB
637449347	96	5	51	6.0e-20	57.8	TIGR01411	twin arginine-targeting protein translocase, TatA/E family
637449360	315	9	313	2.4e-119	384	TIGR01249	proline iminopeptidase, Neisseria-type subfamily
637449362	262	6	259	9.8e-93	296.1	TIGR00097	hydroxymethylpyrimidine kinase/phosphomethylpyrimidine kinase
637449375	260	52	252	8.8e-67	210.7	TIGR01183	nitrate ABC transporter, permease protein
637449376	284	44	273	1.2e-95	305.5	TIGR01184	nitrate transport ATP-binding subunits C and D
637449377	147	1	147	2.9e-63	198.5	TIGR00673	cyanase
637449378	63	5	51	4.4e-19	54.1	TIGR01411	twin arginine-targeting protein translocase, TatA/E family
637449392	146	2	142	2.7e-62	194.7	TIGR01088	3-dehydroquinate dehydratase, type II
637449394	251	18	250	1.4e-54	171	TIGR01467	precorrin-2 C(20)-methyltransferase
637449396	458	1	162	2.8e-22	66.9	TIGR00231	small GTP-binding protein domain
637449396	458	4	436	0.0e+00	534.6	TIGR03594	ribosome-associated GTPase EngA
637449399	212	3	210	1.9e-58	183.8	TIGR00044	pyridoxal phosphate enzyme, YggS family
637449401	268	5	267	1.6e-69	220.5	TIGR00112	pyrroline-5-carboxylate reductase
637449403	259	5	257	7.7e-24	70.4	TIGR00613	DNA repair protein RecO
637449404	219	7	214	2.0e-19	55.9	TIGR00126	deoxyribose-phosphate aldolase
637449405	194	1	104	1.1e-28	85.9	TIGR00741	ribosomal subunit interface protein
637449406	214	28	208	1.0e-51	161.2	TIGR00214	lipoate-protein ligase B
637449410	455	4	454	2.4e-100	322.6	TIGR01349	pyruvate dehydrogenase complex dihydrolipoamide acetyltransferase, long form
637449411	374	11	366	1.3e-112	362.2	TIGR00113	S-adenosylmethionine:tRNA ribosyltransferase-isomerase
637449412	328	8	314	0.0e+00	437	TIGR01136	cysteine synthase
637449412	328	8	314	0.0e+00	454.5	TIGR01139	cysteine synthase A
637449415	202	3	200	1.9e-80	255.4	TIGR01017	ribosomal protein S4, bacterial/organelle type
637449416	78	13	78	1.7e-29	87.8	TIGR00278	putative membrane protein insertion efficiency factor
637449418	511	23	505	0.0e+00	500.9	TIGR01085	UDP-N-acetylmuramyl-tripeptide synthetase
637449424	475	1	471	0.0e+00	539.6	TIGR01320	malate:quinone-oxidoreductase
637449425	602	7	183	1.9e-25	76.6	TIGR00231	small GTP-binding protein domain
637449425	602	7	601	0.0e+00	983.4	TIGR01393	elongation factor 4
637449429	78	5	76	7.0e-40	121.3	TIGR03643	TIGR03643 family protein
637449431	437	8	437	2.2e-114	368.8	TIGR00563	16S rRNA (cytosine(967)-C(5))-methyltransferase
637449433	315	21	309	9.0e-114	366.6	TIGR01476	bacteriochlorophyll/chlorophyll synthetase
637449433	315	6	310	0.0e+00	510.4	TIGR02056	chlorophyll synthase, ChlG
637449435	255	1	253	2.5e-114	366.8	TIGR00735	imidazoleglycerol phosphate synthase, cyclase subunit
637449436	233	9	233	3.6e-58	182.5	TIGR01934	ubiquinone/menaquinone biosynthesis methyltransferases
637449438	249	27	239	5.8e-31	93.9	TIGR00121	birA, biotin-[acetyl-CoA-carboxylase] ligase region
637449440	506	12	469	1.5e-124	402.4	TIGR01770	proton-translocating NADH-quinone oxidoreductase, chain N
637449441	870	5	635	0.0e+00	776.8	TIGR01051	DNA topoisomerase I, bacterial
637449444	385	27	366	3.6e-72	229.3	TIGR00303	TIGR00303 family protein
637449447	219	1	202	8.6e-69	216.8	TIGR00187	riboflavin synthase, alpha subunit
637449450	541	24	527	0.0e+00	681.4	TIGR02891	cytochrome c oxidase, subunit I
637449451	267	32	258	2.1e-49	153.9	TIGR02866	cytochrome c oxidase, subunit II
637449453	332	28	308	3.7e-84	268.8	TIGR01473	protoheme IX farnesyltransferase
637449454	338	11	313	3.6e-96	308	TIGR01188	daunorubicin resistance ABC transporter ATP-binding subunit
637449457	581	2	524	0.0e+00	797.1	TIGR02348	chaperonin GroL
637449458	249	12	248	2.3e-103	331	TIGR01830	3-oxoacyl-(acyl-carrier-protein) reductase
637449459	223	2	220	7.0e-73	230.7	TIGR00453	2-C-methyl-D-erythritol 4-phosphate cytidylyltransferase
637449461	295	10	295	1.4e-75	240.3	TIGR01474	4-hydroxybenzoate polyprenyl transferase, proteobacterial
637449464	251	5	249	2.4e-91	291.5	TIGR01465	precorrin-4 C11-methyltransferase
637449465	297	4	296	5.2e-65	205.6	TIGR00544	prolipoprotein diacylglyceryl transferase
637449469	252	17	230	1.0e-72	230.6	TIGR00945	Twin arginine targeting (Tat) protein translocase TatC
637449472	184	5	184	2.0e-76	241.7	TIGR03263	guanylate kinase
637449475	356	4	325	5.0e-126	407	TIGR03723	tRNA threonylcarbamoyl adenosine modification protein TsaD
637449475	356	5	317	2.3e-107	345.7	TIGR00329	metallohydrolase, glycoprotease/Kae1 family
637449478	478	2	477	0.0e+00	537.3	TIGR00464	glutamyl-tRNA synthetase, bacterial family
637449482	160	46	158	2.2e-50	155.8	TIGR01024	ribosomal protein L19, bacterial type
637449484	279	29	277	5.0e-95	303.7	TIGR00500	methionine aminopeptidase, type I
637449490	433	9	431	0.0e+00	600	TIGR00713	glutamate-1-semialdehyde-2,1-aminomutase
637449491	281	1	262	7.4e-94	301.1	TIGR00195	exodeoxyribonuclease III
637449491	281	1	263	2.7e-86	276.2	TIGR00633	exodeoxyribonuclease III (xth)
637449494	407	4	390	2.0e-79	253.4	TIGR00299	TIGR00299 family protein
637449499	161	6	149	1.6e-38	117.5	TIGR00149	secondary thiamine-phosphate synthase enzyme
637449502	316	6	301	3.6e-109	350.3	TIGR00212	hydroxymethylbilane synthase
637449503	396	159	385	3.5e-43	134.7	TIGR02937	RNA polymerase sigma factor, sigma-70 family
637449503	396	160	396	2.8e-117	378	TIGR02393	RNA polymerase sigma factor RpoD, C-terminal domain
637449503	396	86	383	0.0e+00	425.2	TIGR02997	RNA polymerase sigma factor, cyanobacterial RpoD-like family
637449504	758	243	756	0.0e+00	550.3	TIGR00595	primosomal protein N'
637449506	284	25	259	1.6e-85	272.3	TIGR00761	acetylglutamate kinase
637449510	269	9	264	1.3e-34	106	TIGR00715	precorrin-6x reductase
637449513	436	5	428	0.0e+00	538.2	TIGR00184	adenylosuccinate synthase
637449514	145	7	144	3.3e-61	191.4	TIGR03044	photosystem II protein Psb27
637449515	600	1	592	0.0e+00	646.3	TIGR00409	prolyl-tRNA synthetase, family II
637449519	122	8	122	1.4e-34	105	TIGR01617	transcriptional regulator, Spx/MgsR family
637449520	228	12	212	7.8e-41	125.7	TIGR02227	signal peptidase I, bacterial type
637449526	333	3	321	0.0e+00	461.6	TIGR00874	transaldolase
637449527	377	4	293	1.1e-54	172.1	TIGR02032	geranylgeranyl reductase family
637449528	182	7	182	1.8e-72	228.7	TIGR00496	ribosome recycling factor
637449529	234	3	234	1.1e-102	328.5	TIGR02075	uridylate kinase
637449530	231	55	231	3.8e-67	211.5	TIGR00708	cob(I)alamin adenosyltransferase
637449532	391	1	327	1.0e-118	382.4	TIGR00109	ferrochelatase
637449533	587	21	583	0.0e+00	798.6	TIGR00118	acetolactate synthase, large subunit, biosynthetic type
637449535	260	23	259	1.6e-50	157.6	TIGR00726	YfiH family protein
637449539	238	19	238	2.4e-123	396.2	TIGR04059	long-chain fatty aldehyde decarbonylase
637449540	346	1	337	0.0e+00	625.8	TIGR04058	long-chain fatty acyl-ACP reductase (aldehyde-forming)
637449541	335	3	322	0.0e+00	465.6	TIGR00513	acetyl-CoA carboxylase, carboxyl transferase, alpha subunit
637449543	246	59	239	1.7e-45	140.8	TIGR00063	GTP cyclohydrolase I
637449547	34	5	33	8.2e-16	43.6	TIGR03053	photosystem I reaction center subunit XII
637449549	334	4	334	6.6e-104	333.8	TIGR01289	light-dependent protochlorophyllide reductase
637449550	295	30	295	0.0e+00	437.8	TIGR01281	light-independent protochlorophyllide reductase, iron-sulfur ATP-binding protein
637449551	526	1	526	0.0e+00	591.2	TIGR01278	light-independent protochlorophyllide reductase, B subunit
637449552	418	8	417	0.0e+00	479.4	TIGR01279	light-independent protochlorophyllide reductase, N subunit
637449555	195	6	189	1.1e-45	141.3	TIGR00042	non-canonical purine NTP pyrophosphatase, RdgB/HAM1 family
637449560	509	44	488	0.0e+00	636.7	TIGR02701	carboxysome shell carbonic anhydrase
637449561	88	1	79	8.8e-50	153.2	TIGR02703	carboxysome peptide A
637449562	73	1	71	2.3e-42	129.6	TIGR02704	carboxysome peptide B
637449565	130	4	129	2.7e-52	162.4	TIGR00004	reactive intermediate/imine deaminase
637449566	246	9	245	8.3e-94	299.6	TIGR03413	hydroxyacylglutathione hydrolase
637449567	215	2	187	5.9e-65	204.6	TIGR00070	ATP phosphoribosyltransferase
637449570	227	4	224	4.5e-76	241.3	TIGR04283	transferase 2, rSAM/selenodomain-associated
637449571	202	1	198	5.8e-43	132.9	TIGR04282	transferase 1, rSAM/selenodomain-associated
637449572	463	8	455	0.0e+00	533.3	TIGR00362	chromosomal replication initiator protein DnaA
637449574	459	8	458	0.0e+00	517.8	TIGR01424	glutathione-disulfide reductase, plant
637449575	359	123	323	1.2e-15	44.5	TIGR00378	calcium/proton exchanger (cax)
637449575	359	4	316	6.8e-75	239	TIGR00367	K+-dependent Na+/Ca+ exchanger related-protein
637449576	349	3	345	6.3e-127	409.2	TIGR00856	dihydroorotase, homodimeric type
637449580	279	22	274	3.6e-98	313.5	TIGR00262	tryptophan synthase, alpha subunit
637449585	307	64	297	2.1e-33	101.4	TIGR02937	RNA polymerase sigma factor, sigma-70 family
637449586	221	130	213	6.8e-33	99	TIGR03188	phosphoribosyl-ATP pyrophosphohydrolase
637449588	860	8	860	0.0e+00	1181.9	TIGR03346	ATP-dependent chaperone ClpB
637449589	116	28	116	7.8e-40	121.6	TIGR02656	plastocyanin
637449591	346	7	343	3.3e-127	410.1	TIGR01464	uroporphyrinogen decarboxylase
637449592	754	260	749	0.0e+00	769.2	TIGR01515	alpha-1,4-glucan:alpha-1,4-glucan 6-glycosyltransferase
637449593	525	12	509	1.5e-59	188.4	TIGR00976	putative hydrolase, CocE/NonD family
637449598	436	21	411	0.0e+00	485.9	TIGR00407	gamma-glutamyl phosphate reductase
637449599	120	2	119	1.8e-21	63.7	TIGR00526	FolB domain
637449599	120	3	116	1.5e-24	73.9	TIGR00525	dihydroneopterin aldolase
637449602	494	1	477	0.0e+00	528.5	TIGR01972	proton-translocating NADH-quinone oxidoreductase, chain M
637449603	315	10	311	2.3e-81	258.9	TIGR00191	homoserine kinase
637449604	345	4	335	2.1e-72	230	TIGR00749	glucokinase, proteobacterial type
637449605	638	72	631	0.0e+00	695.9	TIGR00418	threonyl-tRNA synthetase
637449606	338	3	333	1.3e-109	352.4	TIGR00233	tryptophanyl-tRNA synthetase
637449614	194	15	180	1.9e-43	134.2	TIGR02227	signal peptidase I, bacterial type
637449615	588	11	461	4.6e-118	381.1	TIGR00173	2-succinyl-5-enolpyruvyl-6-hydroxy-3-cyclohexene-1-carboxylic-acid synthase
637449616	285	18	281	1.6e-127	410.4	TIGR01929	naphthoate synthase (dihydroxynaphthoic acid synthetase)
637449617	483	1	454	0.0e+00	530.5	TIGR02095	glycogen/starch synthase, ADP-glucose type
637449618	456	33	455	1.5e-107	346.1	TIGR01143	UDP-N-acetylmuramoyl-tripeptide--D-alanyl-D-alanine ligase
637449619	449	2	449	0.0e+00	541.3	TIGR01173	UDP-N-acetylglucosamine diphosphorylase/glucosamine-1-phosphate N-acetyltransferase
637449621	438	17	438	0.0e+00	422.4	TIGR01356	3-phosphoshikimate 1-carboxyvinyltransferase
637449625	264	5	251	1.1e-58	184.6	TIGR00067	glutamate racemase
637449626	323	2	323	0.0e+00	512.5	TIGR02749	solanesyl diphosphate synthase
637449627	660	31	659	0.0e+00	996.2	TIGR02188	acetate--CoA ligase
637449631	429	5	405	0.0e+00	462.9	TIGR00442	histidyl-tRNA synthetase
637449633	100	1	61	7.3e-29	86.3	TIGR02450	tryptophan-rich conserved hypothetical protein
637449635	352	13	334	0.0e+00	570.2	TIGR03041	chlorophyll a/b binding light-harvesting protein
637449641	427	8	408	2.0e-115	371.9	TIGR01790	lycopene cyclase family protein
637449646	310	7	309	0.0e+00	439.6	TIGR04167	radical SAM/Cys-rich domain protein
637449647	403	10	397	0.0e+00	720.6	TIGR02399	glucosylglycerol 3-phosphatase
637449650	442	5	439	0.0e+00	659.8	TIGR01326	OAH/OAS sulfhydrylase
637449651	296	1	295	1.6e-64	204.3	TIGR01001	homoserine O-succinyltransferase
637449661	129	1	129	8.8e-61	189.9	TIGR00068	lactoylglutathione lyase
637449666	240	69	222	2.0e-46	143.8	TIGR00093	pseudouridine synthase
637449670	802	30	796	0.0e+00	860	TIGR02505	ribonucleoside-triphosphate reductase, adenosylcobalamin-dependent
637449672	545	10	535	0.0e+00	775.4	TIGR00503	peptide chain release factor 3
637449672	545	13	479	9.3e-71	226.3	TIGR00484	translation elongation factor EF-G
637449672	545	18	173	2.2e-25	77	TIGR00231	small GTP-binding protein domain
637449677	257	5	253	3.2e-45	140.3	TIGR00046	RNA methyltransferase, RsmE family
637449678	247	5	241	1.4e-66	210.6	TIGR00297	TIGR00297 family protein
