gene_oid	gene_length	query_start	query_end	domaindb	domainid	iprid	iprdesc	go_info
637449012	296	19	203	ProSiteProfiles	PS51387	IPR016166	FAD-binding, type 2	GO:0003824|GO:0016614|GO:0050660|GO:0055114
637449013	473	315	465	SUPERFAMILY	SSF53244	IPR004101	Mur ligase, C-terminal	GO:0005524|GO:0009058|GO:0016874
637449013	473	102	308	SUPERFAMILY	SSF53623	IPR013221	Mur ligase, central	GO:0005524|GO:0009058
637449013	473	10	102	SUPERFAMILY	SSF51984			
637449014	340	3	157	SMART	SM00846	IPR020828	Glyceraldehyde 3-phosphate dehydrogenase, NAD(P) binding domain	GO:0016620|GO:0055114
637449014	340	155	162	ProSitePatterns	PS00071	IPR020830	Glyceraldehyde 3-phosphate dehydrogenase, active site	GO:0016620|GO:0055114
637449014	340	3	174	SUPERFAMILY	SSF51735			
637449014	340	157	319	SUPERFAMILY	SSF55347			
637449015	328	146	306	SUPERFAMILY	SSF56042	IPR010918	AIR synthase-related protein, C-terminal domain	
637449015	328	6	140	SUPERFAMILY	SSF55326	IPR016188	PurM, N-terminal-like	GO:0003824
637449016	363	179	241	SUPERFAMILY	SSF50891	IPR002130	Cyclophilin-like peptidyl-prolyl cis-trans isomerase domain	GO:0003755|GO:0006457
637449016	363	186	346	ProSiteProfiles	PS50072	IPR002130	Cyclophilin-like peptidyl-prolyl cis-trans isomerase domain	GO:0003755|GO:0006457
637449016	363	279	347	SUPERFAMILY	SSF50891	IPR002130	Cyclophilin-like peptidyl-prolyl cis-trans isomerase domain	GO:0003755|GO:0006457
637449016	363	45	154	SUPERFAMILY	SSF101112	IPR023222	PsbQ-like domain	
637449017	186	1	63	SUPERFAMILY	SSF50104	IPR008991	Translation protein SH3-like domain	
637449017	186	65	126	SUPERFAMILY	SSF50249	IPR012340	Nucleic acid-binding, OB-fold	
637449017	186	129	184	SUPERFAMILY	SSF50249	IPR012340	Nucleic acid-binding, OB-fold	
637449017	186	150	169	ProSitePatterns	PS01275	IPR013852	Translation elongation factor P/YeiP, conserved site	
637449017	186	129	184	SMART	SM00841	IPR015365	Elongation factor P, C-terminal	GO:0005737|GO:0043043
637449018	168	91	165	ProSiteProfiles	PS50968	IPR000089	Biotin/lipoyl attachment	
637449018	168	122	139	ProSitePatterns	PS00188	IPR001882	Biotin-binding site	
637449018	168	89	165	SUPERFAMILY	SSF51230	IPR011053	Single hybrid motif	
637449019	346	12	339	SUPERFAMILY	SSF53659			
637449020	295	13	287	SUPERFAMILY	SSF51735			
637449022	134	20	69	SMART	SM00507	IPR003615	HNH nuclease	
637449026	384	7	362	SUPERFAMILY	SSF53383	IPR015424	Pyridoxal phosphate-dependent transferase	
637449026	384	187	207	ProSitePatterns	PS00595	IPR020578	Aminotransferase class-V pyridoxal-phosphate binding site	
637449027	372	1	279	SUPERFAMILY	SSF111342	IPR002748	Cobalamin (vitamin B12) biosynthesis CbiD	GO:0009236|GO:0016740
637449028	528	13	204	ProSiteProfiles	PS51273	IPR017926	Glutamine amidotransferase	
637449028	528	205	403	ProSiteProfiles	PS51553	IPR025777	GMP synthetase ATP pyrophosphatase domain	GO:0005524|GO:0016462
637449028	528	12	234	SUPERFAMILY	SSF52317			
637449028	528	190	449	SUPERFAMILY	SSF52402			
637449028	528	408	528	SUPERFAMILY	SSF54810			
637449031	596	52	246	SUPERFAMILY	SSF56519	IPR005311	Penicillin-binding protein, dimerisation domain	GO:0008658
637449031	596	247	594	SUPERFAMILY	SSF56601	IPR012338	Beta-lactamase/transpeptidase-like	
637449032	174	8	167	SUPERFAMILY	SSF52218			
637449033	600	447	600	SMART	SM00903	IPR002563	Flavin reductase-like, FMN-binding	GO:0010181|GO:0016491|GO:0042602|GO:0055114
637449033	600	279	421	ProSiteProfiles	PS50902	IPR008254	Flavodoxin/nitric oxide synthase	GO:0010181|GO:0016491
637449033	600	445	595	SUPERFAMILY	SSF50475	IPR012349	FMN-binding split barrel	GO:0010181|GO:0016491|GO:0055114
637449033	600	12	270	SUPERFAMILY	SSF56281			
637449033	600	277	422	SUPERFAMILY	SSF52218			
637449034	591	54	249	SMART	SM00849	IPR001279	Beta-lactamase-like	GO:0016787
637449034	591	437	591	SMART	SM00903	IPR002563	Flavin reductase-like, FMN-binding	GO:0010181|GO:0016491|GO:0042602|GO:0055114
637449034	591	278	414	ProSiteProfiles	PS50902	IPR008254	Flavodoxin/nitric oxide synthase	GO:0010181|GO:0016491
637449034	591	432	586	SUPERFAMILY	SSF50475	IPR012349	FMN-binding split barrel	GO:0010181|GO:0016491|GO:0055114
637449034	591	21	268	SUPERFAMILY	SSF56281			
637449034	591	278	422	SUPERFAMILY	SSF52218			
637449035	886	455	552	SUPERFAMILY	SSF50447	IPR009000	Translation protein, beta-barrel domain	
637449035	886	653	696	SMART	SM00863	IPR012947	Threonyl/alanyl tRNA synthetase, SAD	GO:0005524|GO:0016876|GO:0043039
637449035	886	247	460	SUPERFAMILY	SSF101353	IPR018162	Alanine-tRNA ligase, class IIc, anti-codon-binding domain	GO:0000166|GO:0004813|GO:0005524|GO:0005737|GO:0006419
637449035	886	552	708	SUPERFAMILY	SSF55186	IPR018163	Threonyl/alanyl tRNA synthetase, class II-like, putative editing domain	GO:0000166
637449035	886	10	709	ProSiteProfiles	PS50860	IPR018165	Alanyl-tRNA synthetase, class IIc, core domain	GO:0003676|GO:0004813|GO:0005524|GO:0006419
637449035	886	11	246	SUPERFAMILY	SSF55681			
637449036	648	464	575	SUPERFAMILY	SSF50621	IPR009006	Alanine racemase/group IV decarboxylase, C-terminal	GO:0003824
637449036	648	106	124	ProSitePatterns	PS00878	IPR022653	Orn/DAP/Arg decarboxylase 2, pyridoxal-phosphate binding site	
637449036	648	282	298	ProSitePatterns	PS00879	IPR022657	Orn/DAP/Arg decarboxylase 2, conserved site	
637449036	648	75	354	SUPERFAMILY	SSF51419			
637449037	152	1	149	SUPERFAMILY	SSF54919	IPR001564	Nucleoside diphosphate kinase	GO:0004550|GO:0005524|GO:0006165|GO:0006183|GO:0006228|GO:0006241
637449037	152	3	140	SMART	SM00562	IPR001564	Nucleoside diphosphate kinase	GO:0004550|GO:0005524|GO:0006165|GO:0006183|GO:0006228|GO:0006241
637449037	152	114	122	ProSitePatterns	PS00469	IPR023005	Nucleoside diphosphate kinase, active site	
637449038	369	3	232	SUPERFAMILY	SSF51971			
637449038	369	219	306	SUPERFAMILY	SSF54373			
637449038	369	292	348	SUPERFAMILY	SSF51971			
637449039	490	310	416	SUPERFAMILY	SSF89095	IPR003789	Aspartyl/glutamyl-tRNA amidotransferase subunit B-related	GO:0016884
637449039	490	157	171	ProSitePatterns	PS01234	IPR017958	Glutamyl-tRNA(Gln) amidotransferase, subunit B, conserved site	GO:0016884
637449039	490	341	488	SMART	SM00845	IPR018027	Asn/Gln amidotransferase	GO:0016884
637449039	490	8	309	SUPERFAMILY	SSF55931			
637449040	204	13	204	ProSiteProfiles	PS51219	IPR001977	Dephospho-CoA kinase	GO:0004140|GO:0005524|GO:0015937
637449040	204	13	203	SUPERFAMILY	SSF52540	IPR027417	P-loop containing nucleoside triphosphate hydrolase	
637449041	402	8	399	SUPERFAMILY	SSF56266	IPR016117	ArgJ-like domain	
637449042	223	1	177	SUPERFAMILY	SSF52540	IPR027417	P-loop containing nucleoside triphosphate hydrolase	
637449043	320	4	307	SUPERFAMILY	SSF51430	IPR023210	NADP-dependent oxidoreductase domain	
637449044	374	300	306	ProSitePatterns	PS00092	IPR002052	DNA methylase, N-6 adenine-specific, conserved site	GO:0003676|GO:0008168|GO:0032259
637449044	374	42	154	ProSiteProfiles	PS51165	IPR004114	THUMP	GO:0003723
637449044	374	55	154	SMART	SM00981	IPR004114	THUMP	GO:0003723
637449044	374	141	217	SUPERFAMILY	SSF53335			
637449044	374	255	371	SUPERFAMILY	SSF53335			
637449048	1194	501	687	SUPERFAMILY	SSF75553	IPR010935	SMCs flexible hinge	GO:0005515|GO:0005524|GO:0005694|GO:0051276
637449048	1194	540	660	SMART	SM00968	IPR010935	SMCs flexible hinge	GO:0005515|GO:0005524|GO:0005694|GO:0051276
637449048	1194	3	92	SUPERFAMILY	SSF52540	IPR027417	P-loop containing nucleoside triphosphate hydrolase	
637449048	1194	120	233	SUPERFAMILY	SSF52540	IPR027417	P-loop containing nucleoside triphosphate hydrolase	
637449048	1194	848	915	SUPERFAMILY	SSF52540	IPR027417	P-loop containing nucleoside triphosphate hydrolase	
637449048	1194	994	1179	SUPERFAMILY	SSF52540	IPR027417	P-loop containing nucleoside triphosphate hydrolase	
637449048	1194	1091	1177	SUPERFAMILY	SSF52540	IPR027417	P-loop containing nucleoside triphosphate hydrolase	
637449048	1194	706	803	SUPERFAMILY	SSF57997			
637449049	338	19	92	SUPERFAMILY	SSF50346	IPR011033	PRC-barrel-like	
637449049	338	103	176	SUPERFAMILY	SSF50346	IPR011033	PRC-barrel-like	
637449052	449	153	167	ProSitePatterns	PS00866	IPR005479	Carbamoyl-phosphate synthetase large subunit-like, ATP-binding domain	GO:0005524
637449052	449	286	293	ProSitePatterns	PS00867	IPR005479	Carbamoyl-phosphate synthetase large subunit-like, ATP-binding domain	GO:0005524
637449052	449	336	442	SMART	SM00878	IPR005482	Biotin carboxylase, C-terminal	GO:0016874
637449052	449	331	444	SUPERFAMILY	SSF51246	IPR011054	Rudiment single hybrid motif	
637449052	449	120	317	ProSiteProfiles	PS50975	IPR011761	ATP-grasp fold	GO:0005524|GO:0046872
637449052	449	1	446	ProSiteProfiles	PS50979	IPR011764	Biotin carboxylation domain	GO:0004075|GO:0005524|GO:0016874
637449052	449	1	113	SUPERFAMILY	SSF52440	IPR016185	Pre-ATP-grasp domain	
637449052	449	83	352	SUPERFAMILY	SSF56059			
637449056	77	34	76	SUPERFAMILY	SSF103511	IPR023329	Chlorophyll a/b binding protein domain	
637449057	660	449	660	ProSiteProfiles	PS50893	IPR003439	ABC transporter-like	GO:0005524|GO:0016887
637449057	660	473	647	SMART	SM00382	IPR003593	AAA+ ATPase domain	GO:0000166|GO:0017111
637449057	660	115	419	SUPERFAMILY	SSF90123	IPR011527	ABC transporter type 1, transmembrane domain	GO:0005524|GO:0006810|GO:0016021|GO:0042626|GO:0055085
637449057	660	124	411	ProSiteProfiles	PS50929	IPR011527	ABC transporter type 1, transmembrane domain	GO:0005524|GO:0006810|GO:0016021|GO:0042626|GO:0055085
637449057	660	574	588	ProSitePatterns	PS00211	IPR017871	ABC transporter, conserved site	GO:0005524|GO:0016887
637449057	660	442	646	SUPERFAMILY	SSF52540	IPR027417	P-loop containing nucleoside triphosphate hydrolase	
637449059	113	2	112	SUPERFAMILY	SSF54197	IPR011146	HIT-like domain	GO:0003824
637449059	113	6	113	ProSiteProfiles	PS51084	IPR011146	HIT-like domain	GO:0003824
637449059	113	86	104	ProSitePatterns	PS00892	IPR019808	Histidine triad, conserved site	
637449060	201	28	181	SUPERFAMILY	SSF56420	IPR023635	Peptide deformylase	
637449061	642	389	641	SUPERFAMILY	SSF53474			
637449062	425	28	419	SUPERFAMILY	SSF53383	IPR015424	Pyridoxal phosphate-dependent transferase	
637449062	425	229	248	ProSitePatterns	PS00595	IPR020578	Aminotransferase class-V pyridoxal-phosphate binding site	
637449063	405	17	401	SUPERFAMILY	SSF101960			
637449064	261	12	256	ProSiteProfiles	PS50893	IPR003439	ABC transporter-like	GO:0005524|GO:0016887
637449064	261	36	239	SMART	SM00382	IPR003593	AAA+ ATPase domain	GO:0000166|GO:0017111
637449064	261	156	170	ProSitePatterns	PS00211	IPR017871	ABC transporter, conserved site	GO:0005524|GO:0016887
637449064	261	9	241	SUPERFAMILY	SSF52540	IPR027417	P-loop containing nucleoside triphosphate hydrolase	
637449065	480	35	477	SUPERFAMILY	SSF101960			
637449068	545	10	214	SUPERFAMILY	SSF53738	IPR016055	Alpha-D-phosphohexomutase, alpha/beta/alpha I/II/III	GO:0005975|GO:0016868
637449068	545	185	293	SUPERFAMILY	SSF53738	IPR016055	Alpha-D-phosphohexomutase, alpha/beta/alpha I/II/III	GO:0005975|GO:0016868
637449068	545	280	416	SUPERFAMILY	SSF53738	IPR016055	Alpha-D-phosphohexomutase, alpha/beta/alpha I/II/III	GO:0005975|GO:0016868
637449068	545	109	118	ProSitePatterns	PS00710	IPR016066	Alpha-D-phosphohexomutase, conserved site	GO:0000287
637449068	545	411	545	SUPERFAMILY	SSF55957			
637449069	429	52	173	SMART	SM00382	IPR003593	AAA+ ATPase domain	GO:0000166|GO:0017111
637449069	429	256	422	SUPERFAMILY	SSF48019	IPR008921	DNA polymerase III, clamp loader complex, gamma/delta/delta subunit, C-terminal	GO:0003677|GO:0006260
637449069	429	17	250	SUPERFAMILY	SSF52540	IPR027417	P-loop containing nucleoside triphosphate hydrolase	
637449070	218	103	173	SUPERFAMILY	SSF56214	IPR008278	4'-phosphopantetheinyl transferase superfamily	GO:0000287|GO:0008897|GO:0009059
637449071	155	3	150	SUPERFAMILY	SSF52833	IPR012336	Thioredoxin-like fold	
637449071	155	3	155	ProSiteProfiles	PS51352	IPR012336	Thioredoxin-like fold	
637449072	226	99	225	SUPERFAMILY	SSF53067			
637449073	240	12	203	SUPERFAMILY	SSF52402			
637449074	394	5	189	SUPERFAMILY	SSF51905			
637449074	394	151	311	SUPERFAMILY	SSF51905			
637449075	602	551	567	ProSitePatterns	PS01271	IPR001898	Sodium/sulphate symporter	GO:0005215|GO:0006814|GO:0016020|GO:0055085
637449075	602	216	300	ProSiteProfiles	PS51202	IPR006037	Regulator of K+ conductance, C-terminal	GO:0006813|GO:0008324
637449075	602	310	395	ProSiteProfiles	PS51202	IPR006037	Regulator of K+ conductance, C-terminal	GO:0006813|GO:0008324
637449075	602	223	298	SUPERFAMILY	SSF116726			
637449075	602	317	399	SUPERFAMILY	SSF116726			
637449077	234	17	144	ProSiteProfiles	PS51201	IPR003148	Regulator of K+ conductance, N-terminal	GO:0006813
637449077	234	154	234	ProSiteProfiles	PS51202	IPR006037	Regulator of K+ conductance, C-terminal	GO:0006813|GO:0008324
637449077	234	18	153	SUPERFAMILY	SSF51735			
637449077	234	150	231	SUPERFAMILY	SSF116726			
637449081	540	2	261	ProSiteProfiles	PS50893	IPR003439	ABC transporter-like	GO:0005524|GO:0016887
637449081	540	329	539	ProSiteProfiles	PS50893	IPR003439	ABC transporter-like	GO:0005524|GO:0016887
637449081	540	26	247	SMART	SM00382	IPR003593	AAA+ ATPase domain	GO:0000166|GO:0017111
637449081	540	353	521	SMART	SM00382	IPR003593	AAA+ ATPase domain	GO:0000166|GO:0017111
637449081	540	165	179	ProSitePatterns	PS00211	IPR017871	ABC transporter, conserved site	GO:0005524|GO:0016887
637449081	540	448	462	ProSitePatterns	PS00211	IPR017871	ABC transporter, conserved site	GO:0005524|GO:0016887
637449081	540	2	92	SUPERFAMILY	SSF52540	IPR027417	P-loop containing nucleoside triphosphate hydrolase	
637449081	540	134	274	SUPERFAMILY	SSF52540	IPR027417	P-loop containing nucleoside triphosphate hydrolase	
637449081	540	312	533	SUPERFAMILY	SSF52540	IPR027417	P-loop containing nucleoside triphosphate hydrolase	
637449082	382	258	376	SUPERFAMILY	SSF50156	IPR001478	PDZ domain	GO:0005515
637449082	382	289	365	SMART	SM00228	IPR001478	PDZ domain	GO:0005515
637449082	382	58	282	SUPERFAMILY	SSF50494	IPR009003	Trypsin-like cysteine/serine peptidase domain	GO:0003824
637449085	48	4	47	SUPERFAMILY	SSF103511	IPR023329	Chlorophyll a/b binding protein domain	
637449088	265	16	246	SUPERFAMILY	SSF56655			
637449089	476	45	451	SUPERFAMILY	SSF56954			
637449090	470	25	116	SUPERFAMILY	SSF50156	IPR001478	PDZ domain	GO:0005515
637449090	470	108	298	SUPERFAMILY	SSF102114			
637449092	555	430	550	SUPERFAMILY	SSF46977	IPR015939	Fumarate reductase/succinate dehydrogenase flavoprotein-like, C-terminal	GO:0016491|GO:0055114
637449092	555	231	345	SUPERFAMILY	SSF56425	IPR027477	Succinate dehydrogenase/fumarate reductase flavoprotein, catalytic domain	
637449092	555	12	257	SUPERFAMILY	SSF51905			
637449092	555	348	394	SUPERFAMILY	SSF51905			
637449093	311	217	311	ProSiteProfiles	PS51354	IPR002109	Glutaredoxin	GO:0009055|GO:0015035|GO:0045454
637449093	311	222	300	SUPERFAMILY	SSF52833	IPR012336	Thioredoxin-like fold	
637449093	311	14	160	SMART	SM00756	IPR012932	Vitamin K epoxide reductase	
637449094	454	381	452	ProSiteProfiles	PS50926	IPR002792	TRAM domain	
637449094	454	153	370	SMART	SM00729	IPR006638	Elongator protein 3/MiaB/NifB	GO:0003824|GO:0051536
637449094	454	14	125	ProSiteProfiles	PS51449	IPR013848	Methylthiotransferase, N-terminal	GO:0003824|GO:0009451|GO:0051539
637449094	454	157	177	ProSitePatterns	PS01278	IPR020612	Methylthiotransferase, conserved site	GO:0051539
637449094	454	143	375	SUPERFAMILY	SSF102114			
637449097	384	184	361	SUPERFAMILY	SSF55729	IPR016181	Acyl-CoA N-acyltransferase	
637449098	220	2	215	SUPERFAMILY	SSF53597	IPR024072	Dihydrofolate reductase-like domain	
637449099	308	16	149	SUPERFAMILY	SSF55620			
637449099	308	153	286	SUPERFAMILY	SSF55620			
637449100	185	71	96	ProSitePatterns	PS01128	IPR023000	Shikimate kinase, conserved site	
637449100	185	16	176	SUPERFAMILY	SSF52540	IPR027417	P-loop containing nucleoside triphosphate hydrolase	
637449103	241	1	79	ProSiteProfiles	PS50404	IPR004045	Glutathione S-transferase, N-terminal	GO:0005515
637449103	241	80	109	SUPERFAMILY	SSF47616	IPR010987	Glutathione S-transferase, C-terminal-like	
637449103	241	84	241	ProSiteProfiles	PS50405	IPR010987	Glutathione S-transferase, C-terminal-like	
637449103	241	139	199	SUPERFAMILY	SSF47616	IPR010987	Glutathione S-transferase, C-terminal-like	
637449103	241	1	101	SUPERFAMILY	SSF52833	IPR012336	Thioredoxin-like fold	
637449105	132	77	98	ProSitePatterns	PS01319	IPR020053	Ribosome-binding factor A, conserved site	GO:0006364
637449105	132	2	114	SUPERFAMILY	SSF89919	IPR023799	Ribosome-binding factor A domain	
637449106	269	15	268	SUPERFAMILY	SSF69618	IPR003754	Tetrapyrrole biosynthesis, uroporphyrinogen III synthase	GO:0004852|GO:0033014
637449107	156	7	152	SUPERFAMILY	SSF55961			
637449108	484	1	321	SUPERFAMILY	SSF51905			
637449108	484	431	472	SUPERFAMILY	SSF51905			
637449109	130	19	118	SUPERFAMILY	SSF89360	IPR000361	FeS cluster biogenesis	
637449109	130	111	128	ProSitePatterns	PS01152	IPR017870	FeS cluster insertion, C-terminal, conserved site	
637449110	142	30	92	SUPERFAMILY	SSF48452			
637449111	399	68	394	SUPERFAMILY	SSF53756			
637449113	310	1	284	SUPERFAMILY	SSF51735			
637449115	225	3	57	SMART	SM00271	IPR001623	DnaJ domain	
637449115	225	3	67	SUPERFAMILY	SSF46565	IPR001623	DnaJ domain	
637449115	225	4	65	ProSiteProfiles	PS50076	IPR001623	DnaJ domain	
637449116	322	35	53	ProSitePatterns	PS00901	IPR001216	Cysteine synthase/cystathionine beta-synthase P-phosphate-binding site	GO:0006535
637449116	322	1	308	SUPERFAMILY	SSF53686	IPR001926	Tryptophan synthase beta subunit-like PLP-dependent enzymes superfamily	
637449118	227	15	227	ProSiteProfiles	PS50893	IPR003439	ABC transporter-like	GO:0005524|GO:0016887
637449118	227	41	214	SMART	SM00382	IPR003593	AAA+ ATPase domain	GO:0000166|GO:0017111
637449118	227	136	150	ProSitePatterns	PS00211	IPR017871	ABC transporter, conserved site	GO:0005524|GO:0016887
637449118	227	13	221	SUPERFAMILY	SSF52540	IPR027417	P-loop containing nucleoside triphosphate hydrolase	
637449122	251	3	116	SMART	SM00448	IPR001789	Signal transduction response regulator, receiver domain	GO:0000156|GO:0000160
637449122	251	4	120	ProSiteProfiles	PS50110	IPR001789	Signal transduction response regulator, receiver domain	GO:0000156|GO:0000160
637449122	251	155	231	SMART	SM00862	IPR001867	Signal transduction response regulator, C-terminal	GO:0000156|GO:0000160|GO:0003677|GO:0006355
637449122	251	2	129	SUPERFAMILY	SSF52172	IPR011006	CheY-like superfamily	
637449122	251	131	232	SUPERFAMILY	SSF46894	IPR016032	Signal transduction response regulator, C-terminal effector	GO:0003677|GO:0006355
637449123	319	28	182	SMART	SM00382	IPR003593	AAA+ ATPase domain	GO:0000166|GO:0017111
637449123	319	26	221	SUPERFAMILY	SSF52540	IPR027417	P-loop containing nucleoside triphosphate hydrolase	
637449124	214	99	111	ProSitePatterns	PS01331	IPR018095	Thymidylate kinase, conserved site	GO:0004798|GO:0005524|GO:0006233
637449124	214	1	212	SUPERFAMILY	SSF52540	IPR027417	P-loop containing nucleoside triphosphate hydrolase	
637449125	765	3	69	ProSiteProfiles	PS50846	IPR006121	Heavy metal-associated domain, HMA	GO:0030001|GO:0046872
637449125	765	3	69	SUPERFAMILY	SSF55008	IPR006121	Heavy metal-associated domain, HMA	GO:0030001|GO:0046872
637449125	765	8	37	ProSitePatterns	PS01047	IPR017969	Heavy-metal-associated, conserved site	GO:0030001|GO:0046872
637449125	765	456	462	ProSitePatterns	PS00154	IPR018303	P-type ATPase, phosphorylation site	
637449125	765	453	472	SUPERFAMILY	SSF56784	IPR023214	HAD-like domain	
