gene_oid	db_name	id
637449008	GI	33860577
637449008	GenBank/EMBL	NP_892138
637449008	GeneID	1726455
637449008	PIRSF	PIRSF002585
637449008	TIGRFam	TIGR02349
637449008	UniProt/TrEMBL	Q7V3Q3
637449009	GI	33860578
637449009	GenBank/EMBL	NP_892139
637449009	GeneID	1726320
637449009	UniProt/TrEMBL	Q7V3Q2
637449010	GI	33860579
637449010	GenBank/EMBL	NP_892140
637449010	GeneID	1726527
637449010	UniProtKB	Q7V3Q1
637449011	GI	33860580
637449011	GenBank/EMBL	NP_892141
637449011	GeneID	1726743
637449011	UniProtKB	Q7V3Q0
637449012	GI	33860581
637449012	GenBank/EMBL	NP_892142
637449012	GeneID	1726721
637449012	PIRSF	PIRSF000125
637449012	TIGRFam	TIGR00179
637449012	UniProt/TrEMBL	Q7V3P9
637449013	GI	33860582
637449013	GenBank/EMBL	NP_892143
637449013	GeneID	1726603
637449013	PIRSF	PIRSF001562
637449013	TIGRFam	TIGR01082
637449013	UniProt/TrEMBL	Q7V3P8
637449014	GI	33860583
637449014	GenBank/EMBL	NP_892144
637449014	GeneID	1726159
637449014	UniProtKB	Q7TUI0
637449015	GI	33860584
637449015	GenBank/EMBL	NP_892145
637449015	GeneID	1725945
637449015	PIRSF	PIRSF005303
637449015	UniProt/TrEMBL	Q7V3P7
637449016	GI	33860585
637449016	GenBank/EMBL	NP_892146
637449016	GeneID	1727147
637449016	UniProtKB	Q7V3P6
637449017	GI	33860586
637449017	GenBank/EMBL	NP_892147
637449017	GeneID	1725909
637449017	UniProtKB	Q7V3P5
637449018	GI	33860587
637449018	GenBank/EMBL	NP_892148
637449018	GeneID	1726451
637449018	UniProtKB	Q7TUH9
637449019	GI	33860588
637449019	GenBank/EMBL	NP_892149
637449019	GeneID	1726696
637449019	UniProtKB	Q7V3P4
637449020	GI	33860589
637449020	GenBank/EMBL	NP_892150
637449020	GeneID	1727120
637449020	PIRSF	PIRSF016116
637449020	UniProt/TrEMBL	Q7V3P3
637449021	GI	33860590
637449021	GenBank/EMBL	NP_892151
637449021	GeneID	1727094
637449021	UniProt/TrEMBL	Q7TTQ4
637449022	GI	33860591
637449022	GenBank/EMBL	NP_892152
637449022	GeneID	1726608
637449022	UniProt/TrEMBL	Q7V3P2
637449023	GI	33860592
637449023	GenBank/EMBL	NP_892153
637449023	GeneID	1725752
637449023	UniProtKB	Q7TUH8
637449024	GI	33860593
637449024	GenBank/EMBL	NP_892154
637449024	GeneID	1725748
637449024	UniProtKB	Q7V3P1
637449025	GI	33860594
637449025	GenBank/EMBL	NP_892155
637449025	GeneID	1727229
637449025	UniProt/TrEMBL	Q7V3P0
637449026	GI	33860595
637449026	GenBank/EMBL	NP_892156
637449026	GeneID	1727225
637449026	PIRSF	PIRSF000524
637449026	UniProt/TrEMBL	Q7V3N9
637449027	GI	33860596
637449027	GenBank/EMBL	NP_892157
637449027	GeneID	1725754
637449027	PIRSF	PIRSF026782
637449027	TIGRFam	TIGR00312
637449027	UniProt/TrEMBL	Q7V3N8
637449028	GI	33860597
637449028	GenBank/EMBL	NP_892158
637449028	GeneID	1725938
637449028	UniProtKB	Q7V3N7
637449029	GI	33860598
637449029	GenBank/EMBL	NP_892159
637449029	GeneID	1725747
637449029	UniProtKB	Q7V3N6
637449030	GI	33860599
637449030	GenBank/EMBL	NP_892160
637449030	GeneID	1727204
637449030	UniProtKB	Q7V3N5
637449031	GI	33860600
637449031	GenBank/EMBL	NP_892161
637449031	GeneID	1726611
637449031	UniProtKB	Q7V3N4
637449032	GI	33860601
637449032	GenBank/EMBL	NP_892162
637449032	GeneID	1727231
637449032	PIRSF	PIRSF016214
637449032	UniProt/TrEMBL	Q7V3N3
637449033	GI	33860602
637449033	GenBank/EMBL	NP_892163
637449033	GeneID	1726545
637449033	UniProtKB	Q7V3N2
637449034	GI	33860603
637449034	GenBank/EMBL	NP_892164
637449034	GeneID	1725731
637449034	UniProtKB	Q7V3N1
637449035	GI	33860604
637449035	GenBank/EMBL	NP_892165
637449035	GeneID	1727222
637449035	UniProtKB	Q7V3N0
637449036	GI	33860605
637449036	GenBank/EMBL	NP_892166
637449036	GeneID	1726342
637449036	PIRSF	PIRSF001336
637449036	TIGRFam	TIGR01273
637449036	UniProt/TrEMBL	Q7V3M9
637449037	GI	33860606
637449037	GenBank/EMBL	NP_892167
637449037	GeneID	1726438
637449037	UniProtKB	Q7V3M8
637449038	GI	33860607
637449038	GenBank/EMBL	NP_892168
637449038	GeneID	1726539
637449038	UniProtKB	Q7TUH7
637449039	GI	33860608
637449039	GenBank/EMBL	NP_892169
637449039	GeneID	1726255
637449039	PIRSF	PIRSF004644
637449039	TIGRFam	TIGR00133
637449039	UniProt/TrEMBL	Q7V3M7
637449040	GI	33860609
637449040	GenBank/EMBL	NP_892170
637449040	GeneID	1726537
637449040	UniProtKB	Q7V3M6
637449041	GI	33860610
637449041	GenBank/EMBL	NP_892171
637449041	GeneID	1725721
637449041	UniProtKB	Q7V3M5
637449042	GI	33860611
637449042	GenBank/EMBL	NP_892172
637449042	GeneID	1725907
637449042	UniProt/TrEMBL	Q7V3M4
637449043	GI	33860612
637449043	GenBank/EMBL	NP_892173
637449043	GeneID	1726605
637449043	GeneID	1726614
637449043	UniProtKB	Q7V3M3
637449044	GI	33860613
637449044	GenBank/EMBL	NP_892174
637449044	GeneID	1726267
637449044	UniProtKB	Q7V3M2
637449045	GI	33860614
637449045	GenBank/EMBL	NP_892175
637449045	GeneID	1725917
637449045	UniProt/TrEMBL	Q7V3M1
637449046	GI	33860615
637449046	GenBank/EMBL	NP_892176
637449046	GeneID	1726697
637449046	UniProtKB	Q7V3M0
637449047	GI	33860616
637449047	GenBank/EMBL	NP_892177
637449047	GeneID	1726621
637449047	UniProtKB	Q7V3L9
637449048	GI	33860617
637449048	GenBank/EMBL	NP_892178
637449048	GeneID	1727217
637449048	UniProtKB	Q7V3L8
637449049	GI	33860618
637449049	GenBank/EMBL	NP_892179
637449049	GeneID	1726875
637449049	PIRSF	PIRSF012435
637449049	UniProt/TrEMBL	Q7V3L7
637449050	GI	33860619
637449050	GenBank/EMBL	NP_892180
637449050	GeneID	1727119
637449050	UniProt/TrEMBL	Q7V3L6
637449052	GI	33860620
637449052	GenBank/EMBL	NP_892181
637449052	GeneID	1726651
637449052	UniProtKB	Q7V3L5
637449053	GI	33860621
637449053	GenBank/EMBL	NP_892182
637449053	GeneID	1727218
637449053	UniProtKB	Q7V3L4
637449054	GI	33860622
637449054	GenBank/EMBL	NP_892183
637449054	GeneID	1727211
637449054	UniProtKB	Q7V3L3
637449055	GI	33860623
637449055	GenBank/EMBL	NP_892184
637449055	GeneID	1726615
637449055	PIRSF	PIRSF006665
637449055	UniProt/TrEMBL	Q7V3L2
637449056	GI	33860624
637449056	GenBank/EMBL	NP_892185
637449056	GeneID	1726699
637449056	UniProtKB	Q7V3L1
637449057	GI	33860625
637449057	GenBank/EMBL	NP_892186
637449057	GeneID	1727244
637449057	UniProtKB	Q7V3L0
637449058	GI	33860626
637449058	GenBank/EMBL	NP_892187
637449058	GeneID	1725614
637449058	UniProtKB	Q7V3K9
637449059	GI	33860627
637449059	GenBank/EMBL	NP_892188
637449059	GeneID	1727245
637449059	PIRSF	PIRSF000714
637449059	UniProt/TrEMBL	Q7V3K8
637449060	GI	33860628
637449060	GenBank/EMBL	NP_892189
637449060	GeneID	1727248
637449060	UniProtKB	Q7V3K7
637449061	GI	33860629
637449061	GenBank/EMBL	NP_892190
637449061	GeneID	1726125
637449061	PIRSF	PIRSF010399
637449061	UniProt/TrEMBL	Q7V3K6
637449062	GI	33860630
637449062	GenBank/EMBL	NP_892191
637449062	GeneID	1727137
637449062	UniProtKB	Q7V3K5
637449063	GI	33860631
637449063	GenBank/EMBL	NP_892192
637449063	GeneID	1727068
637449063	UniProtKB	Q7V3K4
637449064	GI	33860632
637449064	GenBank/EMBL	NP_892193
637449064	GeneID	1727140
637449064	PIRSF	PIRSF002763
637449064	TIGRFam	TIGR01978
637449064	UniProt/TrEMBL	Q7V3K3
637449065	GI	33860633
637449065	GenBank/EMBL	NP_892194
637449065	GeneID	1726620
637449065	PIRSF	PIRSF005847
637449065	PIRSF	PIRSF500360
637449065	TIGRFam	TIGR01980
637449065	UniProt/TrEMBL	Q7V3K2
637449066	GI	33860634
637449066	GenBank/EMBL	NP_892195
637449066	GeneID	1727207
637449066	UniProtKB	Q7V3K1
637449067	GI	33860635
637449067	GenBank/EMBL	NP_892196
637449067	GeneID	1726210
637449067	UniProt/TrEMBL	Q7V3K0
637449068	GI	33860636
637449068	GenBank/EMBL	NP_892197
637449068	GeneID	1726520
637449068	UniProtKB	Q7V3J9
637449069	GI	33860637
637449069	GenBank/EMBL	NP_892198
637449069	GeneID	1726075
637449069	UniProtKB	Q7V3J8
637449070	GI	33860638
637449070	GenBank/EMBL	NP_892199
637449070	GeneID	1725639
637449070	UniProtKB	Q7V3J7
637449071	GI	33860639
637449071	GenBank/EMBL	NP_892200
637449071	GeneID	1725730
637449071	PIRSF	PIRSF005929
637449071	UniProt/TrEMBL	Q7V3J6
637449072	GI	33860640
637449072	GenBank/EMBL	NP_892201
637449072	GeneID	1726604
637449072	UniProtKB	Q7V3J5
637449073	GI	33860641
637449073	GenBank/EMBL	NP_892202
637449073	GeneID	1726850
637449073	UniProtKB	Q7V3J4
637449074	GI	33860642
637449074	GenBank/EMBL	NP_892203
637449074	GeneID	1725621
637449074	PIRSF	PIRSF000237
637449074	UniProt/TrEMBL	Q7V3J3
637449075	GI	33860643
637449075	GenBank/EMBL	NP_892204
637449075	GeneID	1726607
637449075	UniProtKB	Q7V3J2
637449076	GI	33860644
637449076	GenBank/EMBL	NP_892205
637449076	GeneID	1726492
637449076	UniProtKB	Q7V3J1
637449077	GI	33860645
637449077	GenBank/EMBL	NP_892206
637449077	GeneID	1725803
637449077	UniProtKB	Q7V3J0
637449078	GI	33860646
637449078	GenBank/EMBL	NP_892207
637449078	GeneID	1726402
637449078	UniProt/TrEMBL	Q7V3I9
637449079	GI	33860647
637449079	GenBank/EMBL	NP_892208
637449079	GeneID	1725627
637449079	UniProt/TrEMBL	Q7V3I8
637449080	GI	33860648
637449080	GenBank/EMBL	NP_892209
637449080	GeneID	1726151
637449080	UniProtKB	Q7V3I7
637449081	GI	33860649
637449081	GenBank/EMBL	NP_892210
637449081	GeneID	1725667
637449081	UniProtKB	Q7V3I6
637449082	GI	33860650
637449082	GenBank/EMBL	NP_892211
637449082	GeneID	1727223
637449082	UniProtKB	Q7V3I5
637449083	GI	33860651
637449083	GenBank/EMBL	NP_892212
637449083	GeneID	1726143
637449083	UniProtKB	Q7V3I4
637449084	GI	33860652
637449084	GenBank/EMBL	NP_892213
637449084	GeneID	1726926
637449084	UniProt/TrEMBL	Q7V3I3
637449085	GI	33860653
637449085	GenBank/EMBL	NP_892214
637449085	GeneID	1727220
637449085	UniProtKB	Q7V3I2
637449086	GI	33860654
637449086	GenBank/EMBL	NP_892215
637449086	GeneID	1726115
637449086	UniProtKB	Q7V3I1
637449087	GI	33860655
637449087	GenBank/EMBL	NP_892216
637449087	GeneID	1726462
637449087	UniProtKB	Q7V3I0
637449088	GI	33860656
637449088	GenBank/EMBL	NP_892217
637449088	GeneID	1726916
637449088	PIRSF	PIRSF004949
637449088	UniProt/TrEMBL	Q7V3H9
637449089	GI	33860657
637449089	GenBank/EMBL	NP_892218
637449089	GeneID	1725916
637449089	UniProt/TrEMBL	Q7V3H8
637449090	GI	33860658
637449090	GenBank/EMBL	NP_892219
637449090	GeneID	1726047
637449090	PIRSF	PIRSF010530
637449090	UniProt/TrEMBL	Q7V3H7
637449091	GI	33860659
637449091	GenBank/EMBL	NP_892220
637449091	GeneID	1726257
637449091	UniProtKB	Q7V3H6
637449092	GI	33860660
637449092	GenBank/EMBL	NP_892221
637449092	GeneID	1725749
637449092	PIRSF	PIRSF000171
637449092	PIRSF	PIRSF500076
637449092	TIGRFam	TIGR00551
637449092	UniProt/TrEMBL	Q7V3H5
637449093	GI	33860661
637449093	GenBank/EMBL	NP_892222
637449093	GeneID	1725702
637449093	PIRSF	PIRSF035088
637449093	UniProt/TrEMBL	Q7V3H4
637449094	GI	33860662
637449094	GenBank/EMBL	NP_892223
637449094	GeneID	1726617
637449094	UniProtKB	Q7V3H3
637449095	GI	109150041
637449095	GenBank/EMBL	YP_654186
637449095	GeneID	4126789
637449096	GI	33860663
637449096	GenBank/EMBL	NP_892224
637449096	GeneID	1727215
637449096	PIRSF	PIRSF037673
637449096	UniProt/TrEMBL	Q7V3H2
637449097	GI	33860664
637449097	GenBank/EMBL	NP_892225
637449097	GeneID	1727095
637449097	UniProtKB	Q7V3H1
637449098	GI	33860665
637449098	GenBank/EMBL	NP_892226
637449098	GeneID	1725905
637449098	UniProtKB	Q7V3H0
637449099	GI	33860666
637449099	GenBank/EMBL	NP_892227
637449099	GeneID	1725697
637449099	UniProtKB	Q7V3G9
637449100	GI	33860667
637449100	GenBank/EMBL	NP_892228
637449100	GeneID	1726609
637449100	PIRSF	PIRSF000702
637449100	UniProt/TrEMBL	Q7V3G8
637449101	GI	33860668
637449101	GenBank/EMBL	NP_892229
637449101	GeneID	1726610
637449101	UniProtKB	Q7V3G7
637449102	GI	33860669
637449102	GenBank/EMBL	NP_892230
637449102	GeneID	1725671
637449102	UniProtKB	Q7V3G6
637449103	GI	33860670
637449103	GenBank/EMBL	NP_892231
637449103	GeneID	1725640
637449103	UniProtKB	Q7V3G5
637449104	GI	33860671
637449104	GenBank/EMBL	NP_892232
637449104	GeneID	1725720
637449104	UniProtKB	Q7V3G4
637449105	GI	33860672
637449105	GenBank/EMBL	NP_892233
637449105	GeneID	1726774
637449105	PIRSF	PIRSF004488
637449105	TIGRFam	TIGR00082
637449105	UniProt/TrEMBL	Q7V3G3
637449106	GI	33860673
637449106	GenBank/EMBL	NP_892234
637449106	GeneID	1725704
637449106	UniProtKB	Q7V3G2
637449107	GI	33860674
637449107	GenBank/EMBL	NP_892235
637449107	GeneID	1726613
637449107	UniProtKB	Q7V3G1
637449108	GI	33860675
637449108	GenBank/EMBL	NP_892236
637449108	GeneID	1725899
637449108	UniProtKB	Q7V3G0
637449109	GI	33860676
637449109	GenBank/EMBL	NP_892237
637449109	GeneID	1725727
637449109	PIRSF	PIRSF005418
637449109	TIGRFam	TIGR00049
637449109	UniProt/TrEMBL	Q7V3F9
637449110	GI	33860677
637449110	GenBank/EMBL	NP_892238
637449110	GeneID	1726490
637449110	PIRSF	PIRSF006883
637449110	UniProt/TrEMBL	Q7V3F8
637449111	GI	33860678
637449111	GenBank/EMBL	NP_892239
637449111	GeneID	1726529
637449111	UniProtKB	Q7V3F7
637449112	GI	33860679
637449112	GenBank/EMBL	NP_892240
637449112	GeneID	1725933
637449112	UniProtKB	Q7V3F6
637449113	GI	33860680
637449113	GenBank/EMBL	NP_892241
637449113	GeneID	1726347
637449113	UniProtKB	Q7V3F5
637449114	GI	33860681
637449114	GenBank/EMBL	NP_892242
637449114	GeneID	1727232
637449114	UniProt/TrEMBL	Q7V3F4
637449115	GI	33860682
637449115	GenBank/EMBL	NP_892243
637449115	GeneID	1725604
637449115	UniProtKB	Q7V3F3
637449116	GI	33860683
637449116	GenBank/EMBL	NP_892244
637449116	GeneID	1727143
637449116	UniProtKB	Q7V3F2
637449117	GI	33860684
637449117	GenBank/EMBL	NP_892245
637449117	GeneID	1727322
637449117	UniProtKB	Q7V3F1
637449118	GI	33860685
637449118	GenBank/EMBL	NP_892246
637449118	GeneID	1726252
637449118	UniProtKB	Q7V3F0
637449120	GI	33860686
637449120	GenBank/EMBL	NP_892247
637449120	GeneID	1726444
637449120	UniProtKB	Q7V3E9
637449121	GI	33860687
637449121	GenBank/EMBL	NP_892248
637449121	GeneID	1727039
637449121	UniProtKB	Q7TUH6
637449122	GI	33860688
637449122	GenBank/EMBL	NP_892249
637449122	GeneID	1726417
637449122	UniProtKB	Q7V3E8
637449123	GI	33860689
637449123	GenBank/EMBL	NP_892250
637449123	GeneID	1725906
637449123	UniProtKB	Q7V3E7
637449124	GI	33860690
637449124	GenBank/EMBL	NP_892251
637449124	GeneID	1725728
637449124	UniProtKB	Q7V3E6
637449125	GI	33860691
637449125	GenBank/EMBL	NP_892252
637449125	GeneID	1727221
637449125	PIRSF	PIRSF001307
637449125	TIGRFam	TIGR01494
637449125	TIGRFam	TIGR01511
637449125	TIGRFam	TIGR01525
637449125	UniProt/TrEMBL	Q7V3E5
637449126	GI	33860692
637449126	GenBank/EMBL	NP_892253
637449126	GeneID	1726688
637449126	PIRSF	PIRSF009262
637449126	UniProt/TrEMBL	Q7V3E4
637449127	GI	33860693
637449127	GenBank/EMBL	NP_892254
637449127	GeneID	1726693
637449127	UniProtKB	Q7V3E3
637449128	GI	33860694
637449128	GenBank/EMBL	NP_892255
637449128	GeneID	1727139
637449128	UniProtKB	Q7V3E2
637449129	GI	33860695
637449129	GenBank/EMBL	NP_892256
637449129	GeneID	1726261
637449129	PIRSF	PIRSF002465
637449129	TIGRFam	TIGR00182
637449129	UniProt/TrEMBL	Q7V3E1
637449130	GI	33860696
637449130	GenBank/EMBL	NP_892257
637449130	GeneID	1726871
637449130	PIRSF	PIRSF000448
637449130	TIGRFam	TIGR00747
637449130	UniProt/TrEMBL	Q7V3E0
637449131	GI	33860697
637449131	GenBank/EMBL	NP_892258
637449131	GeneID	1725651
637449131	UniProtKB	Q7V3D9
637449132	GI	33860698
637449132	GenBank/EMBL	NP_892259
637449132	GeneID	1726453
637449132	UniProtKB	Q7V3D8
637449133	GI	33860699
637449133	GenBank/EMBL	NP_892260
637449133	GeneID	1726622
637449133	UniProtKB	Q7V3D7
637449134	GI	33860700
637449134	GenBank/EMBL	NP_892261
637449134	GeneID	1726521
637449134	PIRSF	PIRSF005948
637449134	UniProt/TrEMBL	Q7V3D6
637449135	GI	33860701
637449135	GenBank/EMBL	NP_892262
637449135	GeneID	1726263
637449135	UniProtKB	Q7V3D5
637449136	GI	33860702
637449136	GenBank/EMBL	NP_892263
637449136	GeneID	1727084
637449136	PIRSF	PIRSF005111
637449136	UniProt/TrEMBL	Q7V3D4
637449137	GI	33860703
637449137	GenBank/EMBL	NP_892264
637449137	GeneID	1726750
637449137	UniProtKB	Q7V3D3
637449138	GI	33860704
637449138	GenBank/EMBL	NP_892265
637449138	GeneID	1726487
637449138	UniProtKB	Q7V3D2
637449139	GI	33860705
637449139	GenBank/EMBL	NP_892266
637449139	GeneID	1726634
637449139	UniProtKB	Q7V3D1
637449140	GI	33860706
637449140	GenBank/EMBL	NP_892267
637449140	GeneID	1726158
637449140	UniProtKB	Q7V3D0
637449141	GI	33860707
637449141	GenBank/EMBL	NP_892268
637449141	GeneID	1726441
637449141	PIRSF	PIRSF005332
637449141	UniProt/TrEMBL	Q7TUH5
637449142	GI	33860708
637449142	GenBank/EMBL	NP_892269
637449142	GeneID	1726447
637449142	PIRSF	PIRSF020936
637449142	UniProt/TrEMBL	Q7V3C9
637449143	GI	33860709
637449143	GenBank/EMBL	NP_892270
637449143	GeneID	1726245
637449143	UniProtKB	Q7TUH4
637449144	GI	33860710
637449144	GenBank/EMBL	NP_892271
637449144	GeneID	1725751
637449144	UniProtKB	Q7V3C8
637449145	GI	33860711
637449145	GenBank/EMBL	NP_892272
637449145	GeneID	1725939
637449145	UniProt/TrEMBL	Q7V3C7
637449146	GI	33860712
637449146	GenBank/EMBL	NP_892273
637449146	GeneID	1725799
637449146	UniProtKB	Q7V3C6
637449147	GI	33860713
637449147	GenBank/EMBL	NP_892274
637449147	GeneID	1726649
637449147	UniProtKB	Q7V3C5
637449148	GI	33860714
637449148	GenBank/EMBL	NP_892275
637449148	GeneID	1725669
637449148	PIRSF	PIRSF002878
637449148	UniProt/TrEMBL	Q7V3C4
637449149	GI	33860715
637449149	GenBank/EMBL	NP_892276
637449149	GeneID	1726424
637449149	UniProtKB	Q7V3C3
637449150	GI	33860716
637449150	GenBank/EMBL	NP_892277
637449150	GeneID	1726207
637449150	UniProtKB	Q7V3C2
637449151	GI	33860717
637449151	GenBank/EMBL	NP_892278
637449151	GeneID	1726763
637449151	UniProtKB	Q7TUH3
637449152	GI	33860718
637449152	GenBank/EMBL	NP_892279
637449152	GeneID	1725630
637449152	UniProtKB	Q7TUH2
637449153	GI	33860719
637449153	GenBank/EMBL	NP_892280
637449153	GeneID	1726686
637449153	UniProtKB	Q7TUH1
637449154	GI	33860720
637449154	GenBank/EMBL	NP_892281
637449154	GeneID	1726310
637449154	PIRSF	PIRSF000215
637449154	UniProt/TrEMBL	Q7V3C1
637449155	GI	33860721
637449155	GenBank/EMBL	NP_892282
637449155	GeneID	1726460
637449155	UniProtKB	Q7V3C0
637449156	GI	33860722
637449156	GenBank/EMBL	NP_892283
637449156	GeneID	1727242
637449156	UniProt/TrEMBL	Q7V3B9
637449157	GI	33860723
637449157	GenBank/EMBL	NP_892284
637449157	GeneID	1726283
637449157	UniProtKB	Q7V3B8
637449158	GI	33860724
637449158	GenBank/EMBL	NP_892285
637449158	GeneID	1727028
637449158	UniProtKB	Q7TUH0
637449159	GI	33860725
637449159	GenBank/EMBL	NP_892286
637449159	GeneID	1727227
637449159	UniProtKB	Q7V3B7
637449160	GI	33860726
637449160	GenBank/EMBL	NP_892287
637449160	GeneID	1727065
637449160	UniProtKB	Q7V3B6
637449161	GI	33860727
637449161	GenBank/EMBL	NP_892288
637449161	GeneID	1725734
637449161	UniProtKB	Q7V3B5
637449162	GI	33860728
637449162	GenBank/EMBL	NP_892289
637449162	GeneID	1725725
637449162	UniProtKB	Q7V3B4
637449163	GI	33860729
637449163	GenBank/EMBL	NP_892290
637449163	GeneID	1726459
637449163	UniProtKB	Q7V3B3
637449164	GI	33860730
637449164	GenBank/EMBL	NP_892291
637449164	GeneID	1726112
637449164	PIRSF	PIRSF005572
637449164	UniProt/TrEMBL	Q7V3B2
637449165	GI	33860731
637449165	GenBank/EMBL	NP_892292
637449165	GeneID	1725589
637449165	PIRSF	PIRSF004486
637449165	TIGRFam	TIGR00006
637449165	UniProt/TrEMBL	Q7V3B1
637449166	GI	33860732
637449166	GenBank/EMBL	NP_892293
637449166	GeneID	1725665
637449166	UniProtKB	Q7V3B0
637449167	GI	33860733
637449167	GenBank/EMBL	NP_892294
637449167	GeneID	1726254
637449167	UniProtKB	Q7V3A9
637449168	GI	33860734
637449168	GenBank/EMBL	NP_892295
637449168	GeneID	1726710
637449168	UniProt/TrEMBL	Q7V3A8
637449169	GI	33860735
637449169	GenBank/EMBL	NP_892296
637449169	GeneID	1727115
637449169	UniProt/TrEMBL	Q7V3A7
637449170	GI	33860736
637449170	GenBank/EMBL	NP_892297
637449170	GeneID	1727327
637449170	UniProtKB	Q7V3A6
637449171	GI	33860737
637449171	GenBank/EMBL	NP_892298
637449171	GeneID	1726986
637449171	UniProtKB	Q7V3A5
637449172	GI	33860738
637449172	GenBank/EMBL	NP_892299
637449172	GeneID	1727216
637449172	UniProtKB	Q7TUG9
637449173	GI	33860739
637449173	GenBank/EMBL	NP_892300
637449173	GeneID	1727294
637449173	UniProtKB	Q7V3A4
637449174	GI	33860740
637449174	GenBank/EMBL	NP_892301
637449174	GeneID	1726764
637449174	UniProtKB	Q7V3A3
637449175	GI	33860741
637449175	GenBank/EMBL	NP_892302
637449175	GeneID	1727319
637449175	UniProtKB	Q7V3A2
637449176	GI	33860742
637449176	GenBank/EMBL	NP_892303
637449176	GeneID	1726247
637449176	TIGRFam	TIGR00043
637449176	UniProt/TrEMBL	Q7V3A1
637449177	GI	33860743
637449177	GenBank/EMBL	NP_892304
637449177	GeneID	1726814
637449177	UniProt/TrEMBL	Q7V3A0
637449178	GI	33860744
637449178	GenBank/EMBL	NP_892305
637449178	GeneID	1725740
637449178	UniProtKB	Q7V399
637449179	GI	33860745
637449179	GenBank/EMBL	NP_892306
637449179	GeneID	1726333
637449179	UniProtKB	Q7V398
637449180	GI	33860746
637449180	GenBank/EMBL	NP_892307
637449180	GeneID	1727210
637449180	UniProtKB	Q7V397
637449181	GI	33860747
637449181	GenBank/EMBL	NP_892308
637449181	GeneID	1726465
637449181	PIRSF	PIRSF001543
637449181	TIGRFam	TIGR00456
637449181	UniProt/TrEMBL	Q7V396
637449182	GI	33860748
637449182	GenBank/EMBL	NP_892309
637449182	GeneID	1726450
637449182	UniProtKB	Q7TUG8
637449183	GI	33860749
637449183	GenBank/EMBL	NP_892310
637449183	GeneID	1726440
637449183	UniProtKB	Q7V395
637449184	GI	33860750
637449184	GenBank/EMBL	NP_892311
637449184	GeneID	1726350
637449184	UniProt/TrEMBL	Q7V394
637449185	GI	33860751
637449185	GenBank/EMBL	NP_892312
637449185	GeneID	1726071
637449185	PIRSF	PIRSF000973
637449185	TIGRFam	TIGR00691
637449185	UniProt/TrEMBL	Q7TUG7
637449186	GI	33860752
637449186	GenBank/EMBL	NP_892313
637449186	GeneID	1726705
637449186	UniProtKB	Q7V393
637449187	GI	33860753
637449187	GenBank/EMBL	NP_892314
637449187	GeneID	1727062
637449187	UniProtKB	Q7V392
637449188	GI	33860754
637449188	GenBank/EMBL	NP_892315
637449188	GeneID	1727036
637449188	PIRSF	PIRSF006230
637449188	TIGRFam	TIGR00650
637449188	UniProt/TrEMBL	Q7V391
637449189	GI	33860755
637449189	GenBank/EMBL	NP_892316
637449189	GeneID	1726439
637449189	PIRSF	PIRSF000724
637449189	UniProt/TrEMBL	Q7V390
637449190	GI	33860756
637449190	GenBank/EMBL	NP_892317
637449190	GeneID	1727246
