gene_oid	gene_length	query_start	query_end	subj_start	subj_end	evalue	bit_score	pfam_id	pfam_name	pfam_length
637449056	77	4	76	24	56	3.5e-07	30.5	pfam00504	Chloroa_b-bind	156
637449057	660	104	376	20	282	1.5e-73	247.4	pfam06472	ABC_membrane_2	282
637449057	660	464	602	2	137	7.1e-20	71.7	pfam00005	ABC_tran	137
637449059	113	4	110	2	103	5.4e-24	84.6	pfam11969	DcpS_C	116
637449060	201	30	183	2	155	7.7e-53	178.1	pfam01327	Pep_deformylase	157
637449061	642	433	642	3	211	3.7e-38	130.8	pfam00326	Peptidase_S9	213
637449062	425	37	410	1	371	0.0e+00	462.4	pfam00266	Aminotran_5	371
637449063	405	153	380	5	226	6.6e-61	205.6	pfam01458	UPF0051	230
637449064	261	27	184	1	135	1.4e-23	83.6	pfam00005	ABC_tran	137
637449065	480	213	451	3	230	2.9e-59	200.3	pfam01458	UPF0051	230
637449068	545	15	156	2	137	9.0e-29	99.7	pfam02878	PGM_PMM_I	138
637449068	545	185	291	2	100	6.7e-12	45.6	pfam02879	PGM_PMM_II	104
637449068	545	296	409	2	113	3.4e-28	97.9	pfam02880	PGM_PMM_III	113
637449068	545	428	529	22	71	1.4e-11	44.2	pfam00408	PGM_PMM_IV	73
637449069	429	7	142	10	130	7.2e-16	57.9	pfam05496	RuvB_N	234
637449069	429	272	428	1	165	4.2e-53	179.4	pfam12002	MgsA_C	168
637449070	218	103	210	2	99	2.1e-05	24.2	pfam01648	ACPS	115
637449071	155	5	135	1	123	2.4e-34	117.6	pfam00578	AhpC-TSA	124
637449072	226	7	182	57	201	1.7e-18	66.8	pfam03309	Pan_kinase	206
637449073	240	39	215	3	174	2.0e-38	131.9	pfam01507	PAPS_reduct	174
637449074	394	7	289	2	198	7.0e-17	61.9	pfam07992	Pyr_redox_2	201
637449074	394	151	233	2	69	3.2e-10	40.2	pfam00070	Pyr_redox	80
637449075	602	13	449	8	233	3.0e-16	58.9	pfam03600	CitMHS	351
637449075	602	228	298	2	68	2.6e-12	46.1	pfam02080	TrkA_C	71
637449075	602	323	393	2	67	2.5e-12	46.2	pfam02080	TrkA_C	71
637449075	602	426	602	314	458	1.2e-09	37.6	pfam00939	Na_sulph_symp	471
637449076	467	128	447	25	346	3.5e-57	193.5	pfam02386	TrkH	354
637449077	234	18	138	1	116	1.0e-22	80.2	pfam02254	TrkA_N	116
637449077	234	167	231	3	64	2.2e-06	27.1	pfam02080	TrkA_C	71
637449078	102	9	58	1	54	8.8e-21	73.3	pfam07878	DUF1662	55
637449081	540	17	193	1	137	5.9e-27	94.6	pfam00005	ABC_tran	137
637449081	540	232	318	3	85	2.1e-24	85.1	pfam12848	ABC_tran_2	85
637449081	540	344	476	3	137	3.4e-27	95.3	pfam00005	ABC_tran	137
637449082	382	115	252	1	120	4.4e-21	75	pfam13365	Trypsin_2	120
637449082	382	289	373	2	81	4.9e-12	45.5	pfam13180	PDZ_2	82
637449083	87	4	70	1	65	5.4e-24	83.7	pfam11189	DUF2973	65
637449087	308	25	300	2	258	4.1e-47	160.7	pfam03631	Virul_fac_BrkB	260
637449088	265	6	252	33	235	2.5e-39	135.2	pfam00459	Inositol_P	271
637449089	476	47	238	7	188	8.0e-21	74.4	pfam02321	OEP	188
637449089	476	259	451	5	186	2.7e-24	85.7	pfam02321	OEP	188
637449090	470	246	452	1	203	5.8e-72	241	pfam04459	DUF512	204
637449091	255	41	247	2	203	2.7e-78	262.8	pfam11318	DUF3120	203
637449092	555	17	384	1	417	2.0e-84	283.8	pfam00890	FAD_binding_2	417
637449092	555	433	553	3	105	5.1e-10	39.3	pfam02910	Succ_DH_flav_C	129
637449093	311	17	160	2	137	3.1e-34	117.7	pfam07884	VKOR	138
637449094	454	15	109	1	98	1.2e-26	92.4	pfam00919	UPF0004	98
637449094	454	157	328	3	166	2.7e-24	86.2	pfam04055	Radical_SAM	166
637449094	454	381	451	2	61	4.2e-08	32.8	pfam01938	TRAM	61
637449096	128	11	128	2	119	2.0e-49	166.2	pfam14251	DUF4346	119
637449097	384	13	384	1	369	1.2e-125	419.2	pfam04339	DUF482	370
637449098	220	4	205	2	190	5.0e-29	101.3	pfam01872	RibD_C	200
637449099	308	17	150	2	122	6.0e-26	90.5	pfam01242	PTPS	123
637449099	308	155	289	3	121	1.0e-34	118.8	pfam01242	PTPS	123
637449100	185	24	180	1	154	6.2e-43	146.4	pfam01202	SKI	158
637449101	85	1	83	1	83	2.4e-30	104.5	pfam12095	DUF3571	83
637449103	241	4	79	1	74	6.9e-17	61.4	pfam13417	GST_N_3	75
637449103	241	155	215	32	70	5.7e-05	23	pfam00043	GST_C	95
637449104	70	7	67	1	61	2.1e-22	79.1	pfam05421	DUF751	61
637449105	132	6	111	1	104	1.6e-24	85.8	pfam02033	RBFA	104
637449106	269	27	262	4	230	1.6e-45	155.1	pfam02602	HEM4	231
637449107	156	13	133	1	127	2.1e-19	69.7	pfam03364	Polyketide_cyc	130
637449108	484	10	471	1	450	1.7e-60	205.4	pfam01593	Amino_oxidase	450
637449109	130	17	126	3	111	6.1e-19	68	pfam01521	Fe-S_biosyn	112
637449113	310	3	148	2	133	1.8e-10	40.6	pfam01370	Epimerase	236
637449113	310	261	308	1	44	8.6e-13	47.5	pfam08338	DUF1731	48
637449114	80	10	76	1	67	1.2e-33	114.5	pfam11910	NdhO	67
637449115	225	4	62	1	64	1.7e-17	62.8	pfam00226	DnaJ	64
637449116	322	7	297	1	304	5.8e-60	203	pfam00291	PALP	306
637449118	227	32	164	2	137	1.0e-26	93.8	pfam00005	ABC_tran	137
637449120	313	13	300	39	222	1.3e-26	93.6	pfam14099	Polysacc_lyase	224
637449122	251	5	117	1	111	5.0e-26	90.9	pfam00072	Response_reg	112
637449122	251	155	231	3	77	2.4e-25	88.2	pfam00486	Trans_reg_C	77
637449123	319	11	183	2	161	2.0e-43	147.8	pfam13177	DNA_pol3_delta2	162
637449124	214	8	200	1	186	6.5e-45	152.7	pfam02223	Thymidylate_kin	186
637449125	765	5	66	2	61	9.4e-10	38.4	pfam00403	HMA	62
637449125	765	193	446	1	229	8.5e-52	175.4	pfam00122	E1-E2_ATPase	230
637449125	765	450	669	1	214	9.6e-39	134	pfam00702	Hydrolase	215
637449126	173	35	68	1	33	1.4e-05	24.5	pfam00515	TPR_1	34
637449126	173	70	151	4	69	1.4e-10	40.6	pfam13414	TPR_11	69
637449127	450	56	216	13	193	3.4e-22	78.7	pfam13481	AAA_25	194
637449127	450	327	421	57	119	2.0e-09	37	pfam13541	ChlI	121
637449128	248	11	120	1	111	1.6e-31	108.6	pfam00072	Response_reg	112
637449128	248	158	236	2	77	3.1e-27	94.2	pfam00486	Trans_reg_C	77
637449129	466	124	454	3	322	1.2e-100	336.5	pfam02504	FA_synthesis	323
637449130	335	113	191	1	80	4.1e-27	93.6	pfam08545	ACP_syn_III	80
637449130	335	245	334	2	90	2.9e-33	113.7	pfam08541	ACP_syn_III_C	90
637449131	298	4	297	2	290	1.2e-35	123.3	pfam00698	Acyl_transf_1	318
637449132	206	28	153	6	131	1.1e-21	76.6	pfam01553	Acyltransferase	132
637449134	83	1	77	1	77	4.5e-36	123	pfam10718	Ycf34	77
637449135	415	46	158	2	125	9.9e-16	58.1	pfam01743	PolyA_pol	126
637449135	415	183	244	1	57	1.1e-05	24.8	pfam12627	PolyA_pol_RNAbd	64
637449136	139	5	75	1	70	1.3e-09	37.5	pfam00076	RRM_1	70
637449137	302	19	286	5	265	3.3e-67	226.5	pfam00494	SQS_PSY	267
637449138	473	10	455	1	449	3.0e-84	283.7	pfam01593	Amino_oxidase	450
637449139	115	6	113	1	107	1.4e-50	169.7	pfam10664	NdhM	108
637449140	205	44	183	1	140	2.0e-68	228.2	pfam11371	DUF3172	140
637449141	317	8	67	1	59	8.8e-19	67	pfam00126	HTH_1	60
637449141	317	91	305	4	208	6.3e-47	159.3	pfam03466	LysR_substrate	209
637449142	242	8	231	2	186	1.0e-44	152.2	pfam07298	NnrU	191
637449143	670	70	130	4	61	1.1e-19	69.6	pfam00662	Oxidored_q1_N	62
637449143	670	141	424	1	268	3.0e-86	289	pfam00361	Oxidored_q1	270
637449143	670	466	614	86	242	2.2e-17	63.3	pfam01010	Oxidored_q1_C	242
637449144	546	152	425	2	268	6.3e-69	232.2	pfam00361	Oxidored_q1	270
637449145	237	2	213	29	240	6.8e-16	58.5	pfam02616	ScpA_ScpB	242
637449146	392	2	248	1	245	4.2e-48	163.7	pfam00483	NTP_transferase	248
637449146	392	282	317	2	35	5.9e-05	22.3	pfam00132	Hexapep	36
637449147	296	4	291	1	287	1.1e-42	146	pfam02219	MTHFR	287
637449148	92	13	70	3	58	1.5e-18	65.8	pfam00196	GerE	58
637449150	299	5	271	64	284	6.5e-50	169.5	pfam01513	NAD_kinase	285
637449151	106	10	106	2	95	2.4e-25	87.9	pfam00420	Oxidored_q2	95
637449152	199	20	167	1	143	1.2e-23	83.4	pfam00499	Oxidored_q3	144
637449153	208	56	115	3	52	5.3e-10	38.9	pfam13237	Fer4_10	52
637449154	372	29	364	1	310	6.1e-128	426.2	pfam00146	NADHdh	311
637449155	381	11	362	1	356	0.0e+00	454.7	pfam00285	Citrate_synt	356
637449157	116	11	108	5	111	6.3e-07	29.7	pfam00581	Rhodanese	113
637449158	414	66	398	3	302	1.9e-43	148.8	pfam00291	PALP	306
637449159	103	25	103	3	80	1.1e-16	60.3	pfam01253	SUI1	83
637449160	208	32	187	1	153	1.3e-70	236	pfam01583	APS_kinase	157
637449161	163	1	144	7	150	6.9e-64	213.6	pfam00731	AIRC	150
637449162	233	19	138	43	111	2.4e-05	23.5	pfam01209	Ubie_methyltran	233
637449162	233	135	231	1	96	1.9e-28	98.3	pfam07109	Mg-por_mtran_C	97
637449163	242	17	129	1	112	1.7e-28	98.8	pfam00072	Response_reg	112
637449163	242	178	235	2	58	4.2e-16	58	pfam00196	GerE	58
637449164	382	7	369	1	369	2.2e-63	214.2	pfam00266	Aminotran_5	371
637449165	300	10	300	2	308	3.3e-90	302.4	pfam01795	Methyltransf_5	310
637449166	395	124	395	1	272	3.2e-114	380.5	pfam00346	Complex1_49kDa	272
637449167	150	13	138	1	121	9.4e-07	29.3	pfam13279	4HBT_2	121
637449168	405	5	307	140	416	3.3e-20	71.8	pfam00501	AMP-binding	417
637449169	321	159	225	12	67	2.2e-14	53.7	pfam01188	MR_MLE	67
637449170	305	18	294	2	249	6.2e-23	81.3	pfam01040	UbiA	257
637449171	465	203	450	6	257	5.7e-55	186.4	pfam00425	Chorismate_bind	257
637449172	307	1	115	1	119	2.9e-36	123.8	pfam02951	GSH-S_N	119
637449172	307	119	292	1	173	8.1e-69	230.2	pfam02955	GSH-S_ATP	174
637449173	84	4	64	1	60	9.3e-21	73.5	pfam00462	Glutaredoxin	60
637449174	373	85	195	7	116	9.4e-29	99.4	pfam03462	PCRF	116
637449174	373	225	338	3	114	1.0e-35	121.9	pfam00472	RF-1	114
637449175	60	11	55	2	45	3.1e-25	87.5	pfam11688	DUF3285	45
637449176	180	28	180	35	144	2.1e-35	121.1	pfam02130	UPF0054	145
637449177	138	25	129	1	104	9.7e-32	108.6	pfam01219	DAGK_prokar	104
637449178	198	3	195	1	190	2.7e-56	190.1	pfam00117	GATase	192
637449179	242	29	190	2	163	1.1e-28	99.9	pfam13483	Lactamase_B_3	163
637449180	369	32	358	2	356	2.6e-41	141.7	pfam00155	Aminotran_1_2	363
637449181	603	6	100	11	85	1.6e-19	70.2	pfam03485	Arg_tRNA_synt_N	85
637449181	603	121	473	17	354	2.6e-97	325.8	pfam00750	tRNA-synt_1d	354
637449181	603	487	603	1	119	1.2e-28	99.5	pfam05746	DALR_1	119
637449182	288	20	107	1	88	9.0e-21	73.5	pfam02749	QRPTase_N	88
637449182	288	109	285	1	169	1.9e-46	157.6	pfam01729	QRPTase_C	169
637449183	460	10	132	1	114	1.6e-38	131.1	pfam10396	TrmE_N	114
637449183	460	229	395	2	113	7.0e-22	77.5	pfam01926	MMR_HSR1	116
637449183	460	385	457	6	73	1.7e-16	60.3	pfam12631	GTPase_Cys_C	73
637449184	150	6	150	6	149	2.2e-38	131.2	pfam09835	DUF2062	154
637449185	769	66	216	1	152	7.0e-50	168.7	pfam13328	HD_4	153
637449185	769	276	386	1	115	4.1e-36	123.5	pfam04607	RelA_SpoT	116
637449185	769	429	488	1	60	7.8e-18	64	pfam02824	TGS	60
637449185	769	687	765	2	80	4.9e-13	49.2	pfam13291	ACT_4	80
637449186	531	26	183	2	136	3.7e-26	92	pfam00005	ABC_tran	137
637449186	531	300	452	1	136	3.2e-30	105.1	pfam00005	ABC_tran	137
637449187	322	27	73	1	48	2.6e-10	39.5	pfam01479	S4	48
637449187	322	101	257	1	164	1.4e-28	99.8	pfam00849	PseudoU_synth_2	164
637449188	288	125	243	4	68	5.8e-12	45.5	pfam01926	MMR_HSR1	116
637449189	402	8	391	2	384	0.0e+00	538.9	pfam00162	PGK	384
637449191	364	8	141	2	130	4.8e-21	74.9	pfam03033	Glyco_transf_28	139
637449191	364	184	344	2	147	4.0e-30	104.6	pfam04101	Glyco_tran_28_C	167
637449192	374	52	368	40	363	6.9e-29	100.9	pfam00155	Aminotran_1_2	363
637449193	389	68	369	2	293	2.7e-87	292.4	pfam01180	DHO_dh	295
637449194	240	7	149	8	130	6.6e-26	91.2	pfam00075	RNase_H	132
637449195	131	63	131	1	68	7.0e-27	93.2	pfam00542	Ribosomal_L12	68
637449196	175	3	102	2	100	5.4e-24	84	pfam00466	Ribosomal_L10	100
637449197	235	2	220	2	220	1.9e-49	167.9	pfam00687	Ribosomal_L1	220
637449198	141	8	66	1	60	9.1e-30	101.9	pfam03946	Ribosomal_L11_N	60
637449198	141	71	139	1	69	5.4e-27	93.7	pfam00298	Ribosomal_L11	69
637449199	203	19	129	2	82	2.2e-17	63	pfam02357	NusG	92
637449199	203	151	185	3	28	1.7e-05	24.3	pfam00467	KOW	32
637449200	79	22	78	2	57	1.4e-13	50.2	pfam00584	SecE	57
637449201	919	23	73	3	52	5.2e-02	13.4	pfam02861	Clp_N	53
637449201	919	96	143	3	48	1.5e+00	8.8	pfam02861	Clp_N	53
637449201	919	250	384	2	110	2.8e-14	53.4	pfam00004	AAA	132
637449201	919	645	818	1	171	4.2e-54	183	pfam07724	AAA_2	171
637449201	919	824	904	1	81	8.1e-20	70.5	pfam10431	ClpB_D2-small	81
637449202	430	8	138	2	132	5.2e-56	188.1	pfam03952	Enolase_N	132
637449202	430	143	425	3	290	5.0e-124	413	pfam00113	Enolase_C	296
637449203	555	111	230	2	119	6.7e-31	106.7	pfam03109	ABC1	119
637449205	318	7	283	1	198	3.0e-28	99	pfam07992	Pyr_redox_2	201
637449205	318	147	225	2	79	1.7e-05	25	pfam00070	Pyr_redox	80
637449207	332	13	327	1	323	4.3e-92	308.4	pfam05982	DUF897	327
637449208	551	1	82	7	84	2.7e-15	55.7	pfam13792	Sulfate_tra_GLY	84
637449208	551	117	380	1	278	3.4e-65	219.8	pfam00916	Sulfate_transp	280
637449208	551	447	549	8	107	9.4e-11	41.1	pfam01740	STAS	117
637449209	333	2	330	3	324	0.0e+00	462.5	pfam00490	ALAD	324
637449210	130	11	118	1	128	2.4e-14	53.4	pfam00903	Glyoxalase	128
637449211	803	302	538	4	230	7.8e-31	107.2	pfam00488	MutS_V	235
637449211	803	732	803	1	81	2.0e-08	34.2	pfam01713	Smr	83
637449212	327	3	158	1	156	8.3e-58	194.4	pfam01018	GTP1_OBG	156
637449212	327	161	281	1	116	7.8e-21	74.2	pfam01926	MMR_HSR1	116
637449214	74	6	74	1	71	1.0e-22	80.3	pfam02672	CP12	71
637449215	315	62	153	2	69	2.9e-09	36.7	pfam13409	GST_N_2	70
637449215	315	159	270	29	97	4.4e-07	30.3	pfam14497	GST_C_3	99
637449216	295	2	281	3	292	1.8e-43	148.5	pfam04952	AstE_AspA	292
637449217	360	29	331	1	256	2.8e-89	298.5	pfam00124	Photo_RC	257
637449218	364	9	355	1	345	0.0e+00	470.7	pfam01264	Chorismate_synt	346
637449219	213	29	206	25	176	1.4e-11	43.9	pfam01081	Aldolase	196
637449220	618	8	100	3	109	2.6e-07	30.8	pfam06480	FtsH_ext	110
637449220	618	199	332	1	131	1.4e-46	157.9	pfam00004	AAA	132
637449220	618	392	606	3	213	1.2e-84	283	pfam01434	Peptidase_M41	213
637449221	391	15	169	2	159	7.9e-40	135.8	pfam14306	PUA_2	160
637449221	391	174	391	6	213	4.4e-65	218.9	pfam01747	ATP-sulfurylase	215
637449222	264	29	264	4	243	3.6e-60	203	pfam01716	MSP	245
637449223	418	10	139	2	127	7.5e-32	109.7	pfam02441	Flavoprotein	129
637449223	418	197	388	3	184	2.1e-47	161.1	pfam04127	DFP	185
637449224	73	9	65	1	57	9.2e-24	82.8	pfam10742	DUF2555	57
637449226	113	51	112	6	58	4.3e-06	26.7	pfam04483	DUF565	60
637449227	338	7	156	1	140	2.2e-37	127.8	pfam02729	OTCace_N	142
637449227	338	168	333	2	158	1.5e-36	125.7	pfam00185	OTCace	158
637449228	165	1	141	33	183	1.0e-44	151.8	pfam02245	Pur_DNA_glyco	184
637449229	97	20	91	1	72	3.6e-21	74.7	pfam02686	Glu-tRNAGln	72
637449232	965	38	670	2	597	0.0e+00	637.8	pfam00133	tRNA-synt_1	601
637449232	965	715	871	1	151	4.0e-29	101.3	pfam08264	Anticodon_1	153
637449232	965	933	962	1	29	9.2e-08	31.5	pfam06827	zf-FPG_IleRS	30
637449233	207	5	201	2	189	2.9e-65	219.3	pfam11375	DUF3177	190
637449234	209	15	209	13	196	3.7e-44	150.1	pfam02390	Methyltransf_4	197
637449235	452	2	135	2	135	2.0e-39	134.2	pfam02878	PGM_PMM_I	138
637449235	452	152	249	3	104	3.6e-17	62.5	pfam02879	PGM_PMM_II	104
637449235	452	253	366	1	113	7.0e-24	84	pfam02880	PGM_PMM_III	113
637449235	452	371	442	3	71	1.6e-09	37.6	pfam00408	PGM_PMM_IV	73
637449236	181	43	149	16	102	1.2e-20	73.1	pfam00085	Thioredoxin	104
637449237	212	4	205	1	189	1.8e-55	187.2	pfam02511	Thy1	190
637449238	197	86	191	24	104	2.2e-06	27.1	pfam00692	dUTPase	129
637449239	191	31	191	2	154	7.3e-20	71.2	pfam02572	CobA_CobO_BtuR	172
637449240	244	46	138	4	89	5.2e-15	55	pfam00027	cNMP_binding	91
637449240	244	168	242	2	75	2.6e-15	55.9	pfam13545	HTH_Crp_2	76
637449241	323	2	80	1	78	2.6e-32	110.4	pfam11283	DUF3084	79
637449243	85	5	84	1	80	5.7e-37	125	pfam11344	DUF3146	80
637449244	203	7	195	2	183	3.8e-59	199.2	pfam01195	Pept_tRNA_hydro	184
637449245	66	4	56	1	52	1.1e-25	88.9	pfam00737	PsbH	52
637449246	58	16	58	3	43	4.4e-17	61.3	pfam02468	PsbN	43
637449247	42	1	36	1	36	1.4e-21	75.8	pfam02532	PsbI	36
637449248	678	217	678	2	452	0.0e+00	485.5	pfam12600	DUF3769	452
637449249	206	9	128	3	128	3.5e-22	78.9	pfam00694	Aconitase_C	131
637449250	469	5	458	1	465	0.0e+00	488.9	pfam00330	Aconitase	465
637449251	433	18	186	1	142	5.6e-33	113.3	pfam00994	MoCF_biosynth	144
637449251	433	271	428	2	152	6.9e-53	178.2	pfam02464	CinA	155
637449252	423	7	384	1	399	0.0e+00	572	pfam00464	SHMT	399
637449255	93	7	93	1	85	6.4e-32	109.4	pfam11378	DUF3181	87
637449256	526	30	503	1	433	2.6e-70	237	pfam03023	MVIN	452
637449257	248	17	241	1	207	3.6e-60	203.1	pfam03749	SfsA	216
637449258	486	78	479	1	399	7.2e-120	400.1	pfam00909	Ammonium_transp	399
637449259	398	57	396	1	280	6.4e-90	300.8	pfam02401	LYTB	281
637449260	186	44	129	2	82	1.5e-19	70.2	pfam07681	DoxX	85
637449261	517	14	129	2	94	7.8e-24	83.4	pfam02142	MGS	95
637449261	517	134	452	1	313	3.5e-103	345	pfam01808	AICARFT_IMPCHas	315
637449262	205	5	205	3	214	3.7e-20	72.3	pfam02230	Abhydrolase_2	216
637449263	122	2	91	1	90	4.4e-49	164.6	pfam11352	DUF3155	90
637449264	378	259	374	7	98	2.1e-13	49.9	pfam02518	HATPase_c	111
637449265	246	1	241	5	232	2.8e-27	95.8	pfam02654	CobS	235
637449266	372	128	364	1	230	7.5e-87	290.5	pfam01702	TGT	238
