gene_oid	gene_length	percent_identity	query_start	query_end	subj_start	subj_end	evalue	bit_score	cog_id	cog_name	cog_length
637449028	528	40.91	14	203	4	198	2.0e-53	203	COG0518	GMP synthase - Glutamine amidotransferase domain	198
637449028	528	63.38	204	528	1	315	0.0e+00	523	COG0519	GMP synthase, PP-ATPase domain/subunit	315
637449031	596	31.71	5	590	2	586	3.0e-100	359	COG0768	Cell division protein FtsI/penicillin-binding protein 2	599
637449032	174	28.67	34	168	31	166	4.0e-12	64.3	COG0431	Predicted flavoprotein	184
637449033	600	30.49	435	597	2	159	6.0e-30	126	COG1853	Conserved protein/domain typically associated with flavoprotein oxygenases, DIM6/NTAB family	176
637449033	600	31.19	16	418	3	388	4.0e-78	286	COG0426	Uncharacterized flavoproteins	388
637449034	591	29.94	425	591	1	162	5.0e-32	132	COG1853	Conserved protein/domain typically associated with flavoprotein oxygenases, DIM6/NTAB family	176
637449034	591	39.29	21	415	2	388	6.0e-105	375	COG0426	Uncharacterized flavoproteins	388
637449035	886	46.78	6	880	2	879	0.0e+00	1003	COG0013	Alanyl-tRNA synthetase	879
637449036	648	41.77	7	647	19	650	0.0e+00	688	COG1166	Arginine decarboxylase (spermidine biosynthesis)	652
637449037	152	55.64	4	136	3	135	1.0e-52	198	COG0105	Nucleoside diphosphate kinase	135
637449038	369	25.13	9	367	7	381	2.0e-39	156	COG0665	Glycine/D-amino acid oxidases (deaminating)	387
637449039	490	55.14	7	490	6	482	0.0e+00	658	COG0064	Asp-tRNAAsn/Glu-tRNAGln amidotransferase B subunit (PET112 homolog)	483
637449040	204	32.12	12	204	3	190	4.0e-40	157	COG0237	Dephospho-CoA kinase	201
637449041	402	42.54	8	402	15	404	2.0e-114	405	COG1364	N-acetylglutamate synthase (N-acetylornithine aminotransferase)	404
637449042	223	20.96	3	175	5	232	9.0e-13	67.1	COG1192	ATPases involved in chromosome partitioning	259
637449043	320	26.9	3	307	14	310	2.0e-43	169	COG0667	Predicted oxidoreductases (related to aryl-alcohol dehydrogenases)	316
637449044	374	32.71	1	374	3	377	1.0e-80	294	COG0116	Predicted N6-adenine-specific DNA methylase	381
637449048	1194	29.59	2	1192	1	1156	0.0e+00	501	COG1196	Chromosome segregation ATPases	1163
637449049	338	31.25	23	100	9	87	9.0e-06	44.8	COG1873	Uncharacterized conserved protein	87
637449057	660	34.24	92	655	24	599	1.0e-126	447	COG4178	ABC-type uncharacterized transport system, permease and ATPase components	604
637449059	113	40.87	3	113	1	112	5.0e-23	99.3	COG0537	Diadenosine tetraphosphate (Ap4A) hydrolase and other HIT family hydrolases	138
637449060	201	50.31	31	192	4	163	2.0e-48	185	COG0242	N-formylmethionyl-tRNA deformylase	168
637449061	642	23.9	171	640	159	617	3.0e-49	190	COG1506	Dipeptidyl aminopeptidases/acylaminoacyl-peptidases	620
637449062	425	50.12	20	418	9	403	0.0e+00	474	COG0520	Selenocysteine lyase	405
637449064	261	58.2	11	253	3	242	6.0e-94	337	COG0396	ABC-type transport system involved in Fe-S cluster assembly, ATPase component	251
637449065	480	40.72	36	478	1	412	5.0e-113	401	COG0719	ABC-type transport system involved in Fe-S cluster assembly, permease component	412
637449067	368	29.27	79	240	47	210	6.0e-21	95.5	COG3330	Uncharacterized protein conserved in bacteria	215
637449068	545	33.4	11	531	11	524	0.0e+00	485	COG0033	Phosphoglucomutase	524
637449069	429	43.69	12	428	7	429	0.0e+00	462	COG2256	ATPase related to the helicase subunit of the Holliday junction resolvase	436
637449071	155	50.66	1	152	2	152	2.0e-44	171	COG1225	Peroxiredoxin	157
637449073	240	30.83	5	237	7	241	3.0e-41	162	COG0175	3'-phosphoadenosine 5'-phosphosulfate sulfotransferase (PAPS reductase)/FAD synthetase and related enzymes	261
637449074	394	30.56	5	380	3	396	2.0e-67	249	COG1252	NADH dehydrogenase, FAD-containing subunit	405
637449075	602	20.82	139	599	71	454	5.0e-25	109	COG0471	Di- and tricarboxylate transporters	461
637449076	467	30.14	53	464	93	499	2.0e-43	170	COG0168	Trk-type K+ transport systems, membrane components	499
637449077	234	30.28	17	231	2	216	9.0e-34	136	COG0569	K+ transport systems, NAD-binding component	225
637449081	540	41.22	1	536	3	527	0.0e+00	525	COG0488	ATPase components of ABC transporters with duplicated ATPase domains	530
637449082	382	34.87	35	374	13	338	3.0e-61	228	COG0265	Trypsin-like serine proteases, typically periplasmic, contain C-terminal PDZ domain	347
637449087	308	21.88	12	298	15	286	6.0e-19	88.5	COG1295	Predicted membrane protein	303
637449088	265	27.08	11	236	5	244	1.0e-40	160	COG0483	Archaeal fructose-1,6-bisphosphatase and related enzymes of inositol monophosphatase family	260
637449089	476	21.13	52	451	50	442	1.0e-33	137	COG1538	Outer membrane protein	457
637449090	470	31.9	25	463	2	414	1.0e-79	290	COG1625	Fe-S oxidoreductase, related to NifB/MoaA family	414
637449092	555	40.48	17	551	9	518	0.0e+00	519	COG0029	Aspartate oxidase	518
637449093	311	24.83	14	159	11	147	6.0e-12	65.3	COG4243	Predicted membrane protein	156
637449094	454	38.12	15	452	4	437	1.0e-121	429	COG0621	2-methylthioadenine synthetase	437
637449097	384	32	13	384	15	384	2.0e-91	329	COG3146	Uncharacterized protein conserved in bacteria	387
637449098	220	20.72	4	217	4	218	3.0e-20	92.3	COG1985	Pyrimidine reductase, riboflavin biosynthesis	218
637449099	308	32.84	156	286	5	124	6.0e-17	81.9	COG0720	6-pyruvoyl-tetrahydropterin synthase	127
637449100	185	36.59	14	176	1	163	8.0e-36	143	COG0703	Shikimate kinase	172
637449103	241	23.27	2	201	1	176	1.0e-20	93.7	COG0625	Glutathione S-transferase	211
637449105	132	32.77	1	118	1	117	4.0e-18	83.7	COG0858	Ribosome-binding factor A	118
637449106	269	29.88	15	265	2	242	1.0e-35	143	COG1587	Uroporphyrinogen-III synthase	248
637449108	484	43.57	1	478	1	467	1.0e-119	423	COG3349	Uncharacterized conserved protein	485
637449109	130	44.74	18	130	4	110	6.0e-29	119	COG0316	Uncharacterized conserved protein	110
637449111	399	28.5	3	389	8	403	3.0e-56	212	COG4370	Uncharacterized protein conserved in bacteria	412
637449113	310	43.93	3	304	1	290	1.0e-84	306	COG1090	Predicted nucleoside-diphosphate sugar epimerase	297
637449116	322	57.7	3	305	1	300	4.0e-107	381	COG0031	Cysteine synthase	300
637449118	227	35.94	15	215	4	217	4.0e-45	174	COG1122	ABC-type cobalt transport system, ATPase component	235
637449122	251	44.16	5	235	3	229	4.0e-61	228	COG0745	Response regulators consisting of a CheY-like receiver domain and a winged-helix DNA-binding domain	229
637449123	319	26.48	7	314	1	303	2.0e-20	93.5	COG0470	ATPase involved in DNA replication	324
637449124	214	39.62	1	208	1	205	3.0e-47	181	COG0125	Thymidylate kinase	208
637449125	765	37.03	1	764	1	707	0.0e+00	626	COG2217	Cation transport ATPase	713
637449127	450	43.91	1	450	1	456	0.0e+00	520	COG1066	Predicted ATP-dependent serine protease	456
637449128	248	45.85	11	237	3	226	3.0e-60	225	COG0745	Response regulators consisting of a CheY-like receiver domain and a winged-helix DNA-binding domain	229
637449129	466	44.51	123	457	1	329	1.0e-99	357	COG0416	Fatty acid/phospholipid biosynthesis enzyme	338
637449130	335	43.87	11	335	4	323	2.0e-97	349	COG0332	3-oxoacyl-[acyl-carrier-protein] synthase III	323
637449131	298	37.42	1	298	2	306	6.0e-66	244	COG0331	(acyl-carrier-protein) S-malonyltransferase	310
637449132	206	30.61	8	199	31	222	2.0e-25	108	COG0204	1-acyl-sn-glycerol-3-phosphate acyltransferase	255
637449133	216	20.29	11	210	2	191	4.0e-08	52	COG1214	Inactive homolog of metal-dependent proteases, putative molecular chaperone	220
637449135	415	20.87	34	409	13	390	3.0e-28	119	COG0617	tRNA nucleotidyltransferase/poly(A) polymerase	412
637449137	302	36.1	9	283	7	270	2.0e-60	226	COG1562	Phytoene/squalene synthetase	288
637449138	473	41.11	1	454	1	459	4.0e-128	451	COG3349	Uncharacterized conserved protein	485
637449141	317	33.99	6	307	1	294	2.0e-45	176	COG0583	Transcriptional regulator	297
637449142	242	32.87	8	222	2	207	7.0e-41	160	COG4094	Predicted membrane protein	219
637449143	670	41	8	661	1	606	2.0e-129	457	COG1009	NADH:ubiquinone oxidoreductase subunit 5 (chain L)/Multisubunit Na+/H+ antiporter, MnhA subunit	606
637449144	546	47.68	23	516	2	483	0.0e+00	493	COG1008	NADH:ubiquinone oxidoreductase subunit 4 (chain M)	497
637449145	237	18.1	2	218	40	244	4.0e-07	48.4	COG1354	Uncharacterized conserved protein	248
637449146	392	37.64	1	347	2	326	9.0e-77	281	COG1208	Nucleoside-diphosphate-sugar pyrophosphorylase involved in lipopolysaccharide biosynthesis/translation initiation factor 2B, gamma/epsilon subunits (eIF-2Bgamma/eIF-2Bepsilon)	358
637449147	296	29.41	1	292	2	289	5.0e-41	161	COG0685	5,10-methylenetetrahydrofolate reductase	291
637449149	158	34.19	1	154	1	154	4.0e-30	123	COG2954	Uncharacterized protein conserved in bacteria	156
637449150	299	30.56	3	287	5	279	6.0e-49	187	COG0061	Predicted sugar kinase	281
637449151	106	60.4	6	106	2	100	5.0e-24	102	COG0713	NADH:ubiquinone oxidoreductase subunit 11 or 4L (chain K)	100
637449152	199	41.1	8	170	4	165	7.0e-23	100	COG0839	NADH:ubiquinone oxidoreductase subunit 6 (chain J)	166
637449153	208	35.03	19	175	12	168	2.0e-40	159	COG1143	Formate hydrogenlyase subunit 6/NADH:ubiquinone oxidoreductase 23 kD subunit (chain I)	172
637449154	372	46.7	20	368	4	332	1.0e-91	329	COG1005	NADH:ubiquinone oxidoreductase subunit 1 (chain H)	332
637449155	381	48.7	1	380	9	390	7.0e-126	443	COG0372	Citrate synthase	390
637449157	116	25	13	116	10	110	3.0e-11	60.7	COG0607	Rhodanese-related sulfurtransferase	110
637449158	414	69.6	17	414	1	393	0.0e+00	691	COG0133	Tryptophan synthase beta chain	396
637449160	208	55.38	12	206	2	196	6.0e-78	283	COG0529	Adenylylsulfate kinase and related kinases	197
637449161	163	60.39	1	154	9	162	4.0e-57	213	COG0041	Phosphoribosylcarboxyaminoimidazole (NCAIR) mutase	162
637449162	233	19.83	4	230	3	230	4.0e-30	125	COG2227	2-polyprenyl-3-methyl-5-hydroxy-6-metoxy-1,4-benzoquinol methylase	243
637449163	242	30.26	16	241	2	209	2.0e-34	139	COG2197	Response regulator containing a CheY-like receiver domain and an HTH DNA-binding domain	211
637449164	382	43.57	5	382	1	379	3.0e-111	395	COG1104	Cysteine sulfinate desulfinase/cysteine desulfurase and related enzymes	386
637449165	300	43.59	11	298	5	310	4.0e-84	304	COG0275	Predicted S-adenosylmethionine-dependent methyltransferase involved in cell envelope biogenesis	314
637449166	395	51.89	1	395	5	398	0.0e+00	539	COG0649	NADH:ubiquinone oxidoreductase 49 kD subunit 7	398
637449167	150	20.14	2	140	1	133	1.0e-15	76.1	COG0824	Predicted thioesterase	137
637449170	305	25.32	1	302	3	302	3.0e-34	139	COG1575	1,4-dihydroxy-2-naphthoate octaprenyltransferase	303
637449171	465	26.02	51	456	42	417	5.0e-55	209	COG1169	Isochorismate synthase	423
637449172	307	33.44	1	303	1	311	2.0e-47	182	COG0189	Glutathione synthase/Ribosomal protein S6 modification enzyme (glutaminyl transferase)	318
637449173	84	47.5	2	80	1	80	4.0e-22	96.2	COG0695	Glutaredoxin and related proteins	80
637449174	373	54.81	128	366	1	239	7.0e-88	317	COG1186	Protein chain release factor B	239
637449176	180	28.95	28	179	5	144	5.0e-23	100	COG0319	Predicted metal-dependent hydrolase	153
637449177	138	33.61	13	131	3	120	7.0e-25	106	COG0818	Diacylglycerol kinase	123
637449178	198	55.1	1	195	3	191	5.0e-76	277	COG0512	Anthranilate/para-aminobenzoate synthases component II	191
637449179	242	19.34	23	191	2	212	1.0e-09	57.1	COG2220	Predicted Zn-dependent hydrolases of the beta-lactamase fold	258
637449180	369	28.05	13	358	1	344	1.0e-59	223	COG0079	Histidinol-phosphate/aromatic aminotransferase and cobyric acid decarboxylase	356
637449181	603	34.7	4	603	3	577	0.0e+00	487	COG0018	Arginyl-tRNA synthetase	577
637449182	288	40.21	8	285	6	276	2.0e-78	286	COG0157	Nicotinate-nucleotide pyrophosphorylase	280
637449183	460	39.13	6	460	2	454	2.0e-113	403	COG0486	Predicted GTPase	454
637449184	150	31.69	6	145	30	165	2.0e-18	85.3	COG3216	Uncharacterized protein conserved in bacteria	184
637449185	769	44.24	60	766	24	701	0.0e+00	771	COG0317	Guanosine polyphosphate pyrophosphohydrolases/synthetases	701
637449186	531	38.16	8	526	5	532	0.0e+00	488	COG1123	ATPase components of various ABC-type transport systems, contain duplicated ATPase	539
637449187	322	49.82	27	307	13	289	1.0e-77	283	COG0564	Pseudouridylate synthases, 23S RNA-specific	289
637449188	288	35.89	4	287	12	298	4.0e-49	188	COG1161	Predicted GTPases	322
637449189	402	57.14	1	402	2	393	0.0e+00	506	COG0126	3-phosphoglycerate kinase	395
637449191	364	31.75	8	357	3	351	4.0e-63	235	COG0707	UDP-N-acetylglucosamine:LPS N-acetylglucosamine transferase	357
637449192	374	27.54	36	374	21	354	6.0e-56	211	COG0079	Histidinol-phosphate/aromatic aminotransferase and cobyric acid decarboxylase	356
637449193	389	37.77	68	387	1	310	2.0e-79	289	COG0167	Dihydroorotate dehydrogenase	310
637449194	240	51.77	6	144	1	139	3.0e-37	148	COG0328	Ribonuclease HI	154
637449195	131	54.2	1	131	1	124	3.0e-22	97.2	COG0222	Ribosomal protein L7/L12	124
637449196	175	34.1	1	172	1	172	1.0e-31	129	COG0244	Ribosomal protein L10	175
637449197	235	53.51	1	226	1	228	2.0e-76	278	COG0081	Ribosomal protein L1	228
637449198	141	64.49	2	139	1	138	3.0e-49	186	COG0080	Ribosomal protein L11	141
637449199	203	39.57	19	203	3	178	3.0e-37	148	COG0250	Transcription antiterminator	178
637449201	919	41.27	12	917	2	782	0.0e+00	706	COG0542	ATPases with chaperone activity, ATP-binding subunit	786
637449202	430	69.01	9	421	4	416	0.0e+00	637	COG0148	Enolase	423
637449203	555	32.49	1	506	1	505	9.0e-106	377	COG0661	Predicted unusual protein kinase	517
637449205	318	40	7	309	5	304	9.0e-72	264	COG0492	Thioredoxin reductase	305
637449207	332	38.94	9	324	14	367	2.0e-65	242	COG3329	Predicted permease	372
637449208	551	32.92	1	551	10	552	3.0e-94	339	COG0659	Sulfate permease and related transporters (MFS superfamily)	554
637449209	333	54.05	1	332	4	329	0.0e+00	469	COG0113	Delta-aminolevulinic acid dehydratase	330
637449210	130	19.85	11	118	2	136	3.0e-06	44.4	COG0346	Lactoylglutathione lyase and related lyases	138
637449211	803	30.71	18	800	1	751	6.0e-110	392	COG1193	Mismatch repair ATPase (MutS family)	753
637449212	327	53.01	1	327	1	332	9.0e-120	423	COG0536	Predicted GTPase	369
637449215	315	31.62	48	306	45	312	5.0e-47	181	COG0435	Predicted glutathione S-transferase	324
637449216	295	21.88	6	282	46	321	3.0e-29	122	COG2988	Succinylglutamate desuccinylase	324
637449218	364	52.88	1	362	1	358	0.0e+00	475	COG0082	Chorismate synthase	369
637449219	213	17.92	44	212	31	202	7.0e-13	67.5	COG0800	2-keto-3-deoxy-6-phosphogluconate aldolase	211
637449220	618	57.21	10	609	2	590	0.0e+00	709	COG0465	ATP-dependent Zn proteases	596
637449221	391	36.83	13	391	2	376	1.0e-76	280	COG2046	ATP sulfurylase (sulfate adenylyltransferase)	397
637449223	418	35.05	9	414	4	388	3.0e-67	249	COG0452	Phosphopantothenoylcysteine synthetase/decarboxylase	392
637449227	338	40.42	1	333	2	310	1.0e-89	323	COG0540	Aspartate carbamoyltransferase, catalytic chain	316
637449228	165	35.37	1	150	39	199	7.0e-35	140	COG2094	3-methyladenine DNA glycosylase	200
637449229	97	51.58	3	97	2	96	4.0e-16	76.4	COG0721	Asp-tRNAAsn/Glu-tRNAGln amidotransferase C subunit	96
637449232	965	44.23	15	964	3	930	0.0e+00	1044	COG0060	Isoleucyl-tRNA synthetase	933
637449234	209	30.66	2	208	16	224	4.0e-35	141	COG0220	Predicted S-adenosylmethionine-dependent methyltransferase	227
637449235	452	37.99	1	445	6	461	5.0e-97	348	COG1109	Phosphomannomutase	464
637449237	212	32.7	12	212	31	238	3.0e-32	131	COG1351	Predicted alternative thymidylate synthase	273
637449238	197	34.83	1	197	1	181	4.0e-44	171	COG0717	Deoxycytidine deaminase	183
637449239	191	23.26	21	191	16	181	1.0e-20	93	COG2109	ATP:corrinoid adenosyltransferase	198
637449240	244	34.04	49	236	28	213	2.0e-28	119	COG0664	cAMP-binding proteins - catabolite gene activator and regulatory subunit of cAMP-dependent protein kinases	214
637449244	203	36.98	6	197	3	189	1.0e-51	195	COG0193	Peptidyl-tRNA hydrolase	190
637449249	206	36.46	11	201	3	190	5.0e-45	174	COG0066	3-isopropylmalate dehydratase small subunit	191
637449250	469	46.67	5	467	4	423	0.0e+00	562	COG0065	3-isopropylmalate dehydratase large subunit	423
637449251	433	37.25	17	259	4	247	5.0e-60	225	COG1058	Predicted nucleotide-utilizing enzyme related to molybdopterin-biosynthesis enzyme MoeA	255
637449251	433	41.82	266	430	1	162	7.0e-47	181	COG1546	Uncharacterized protein (competence- and mitomycin-induced)	162
637449252	423	63.13	1	415	1	413	0.0e+00	661	COG0112	Glycine/serine hydroxymethyltransferase	413
637449256	526	24.38	7	520	11	512	5.0e-53	202	COG0728	Uncharacterized membrane protein, putative virulence factor	518
637449257	248	43.11	9	232	5	215	6.0e-58	217	COG1489	DNA-binding protein, stimulates sugar fermentation	235
637449258	486	38.01	74	484	3	407	3.0e-96	346	COG0004	Ammonia permease	409
637449259	398	28.12	54	396	1	284	9.0e-69	254	COG0761	Penicillin tolerance protein	294
637449260	186	30.28	38	178	9	139	5.0e-11	60.8	COG2259	Predicted membrane protein	142
637449261	517	51.05	1	517	1	515	0.0e+00	647	COG0138	AICAR transformylase/IMP cyclohydrolase PurH (only IMP cyclohydrolase domain in Aful)	515
637449262	205	24.64	1	205	1	206	6.0e-23	100	COG0400	Predicted esterase	207
637449265	246	21.37	1	246	5	243	3.0e-20	92.2	COG0368	Cobalamin-5-phosphate synthase	246
637449266	372	48.21	4	365	1	361	2.0e-127	449	COG0343	Queuine/archaeosine tRNA-ribosyltransferase	372
637449268	334	28.4	8	315	4	326	5.0e-42	165	COG0673	Predicted dehydrogenases and related proteins	342
637449269	422	28.37	3	417	7	419	7.0e-63	234	COG1253	Hemolysins and related proteins containing CBS domains	429
637449271	186	37.08	12	186	3	176	2.0e-31	129	COG0461	Orotate phosphoribosyltransferase	201
637449272	282	21.46	21	262	27	279	2.0e-19	89.6	COG0354	Predicted aminomethyltransferase related to GcvT	305
637449273	472	21.11	15	470	13	468	4.0e-30	126	COG2251	Predicted nuclease (RecB family)	474
637449274	486	29.07	3	482	2	460	8.0e-82	298	COG1109	Phosphomannomutase	464
637449275	191	42.27	1	189	1	193	1.0e-49	189	COG0127	Xanthosine triphosphate pyrophosphatase	194
637449276	507	32.58	25	506	14	486	4.0e-106	378	COG3670	Lignostilbene-alpha,beta-dioxygenase and related enzymes	490
637449277	201	54.64	5	198	4	195	2.0e-79	288	COG0131	Imidazoleglycerol-phosphate dehydratase	195
637449278	260	60.85	3	260	2	255	8.0e-103	366	COG0623	Enoyl-[acyl-carrier-protein] reductase (NADH)	259
637449280	401	39.38	11	391	9	372	1.0e-100	360	COG0399	Predicted pyridoxal phosphate-dependent enzyme apparently involved in regulation of cell wall biogenesis	374
637449281	478	40.17	3	475	1	457	2.0e-118	419	COG0415	Deoxyribodipyrimidine photolyase	461
637449282	187	23.84	45	187	9	157	1.0e-06	46.5	COG0494	NTP pyrophosphohydrolases including oxidative damage repair enzymes	161
637449283	187	31.65	13	170	5	131	6.0e-20	90.7	COG0801	7,8-dihydro-6-hydroxymethylpterin-pyrophosphokinase	160
637449284	720	36.29	26	419	14	376	2.0e-79	290	COG1239	Mg-chelatase subunit ChlI	423
637449285	281	20	1	258	1	261	2.0e-16	80.1	COG1463	ABC-type transport system involved in resistance to organic solvents, periplasmic component	359
637449286	272	38.37	14	266	4	252	8.0e-64	236	COG1127	ABC-type transport system involved in resistance to organic solvents, ATPase component	263
637449287	440	46.04	112	430	3	322	1.0e-81	297	COG0391	Uncharacterized conserved protein	323
637449288	176	38.41	40	176	29	159	3.0e-30	124	COG0852	NADH:ubiquinone oxidoreductase 27 kD subunit	176
637449289	244	49.16	23	201	10	186	1.0e-69	256	COG0377	NADH:ubiquinone oxidoreductase 20 kD subunit and related Fe-S oxidoreductases	194
637449290	120	45	1	120	2	121	1.0e-25	108	COG0838	NADH:ubiquinone oxidoreductase subunit 3 (chain A)	123
637449291	142	35.85	43	95	3	54	6.0e-09	53.7	COG1773	Rubredoxin	55
637449292	337	29.22	11	337	12	331	3.0e-48	186	COG4447	Uncharacterized protein related to plant photosystem II stability/assembly factor	339
637449297	307	33.84	8	266	5	262	4.0e-65	241	COG0005	Purine nucleoside phosphorylase	262
637449298	730	22.73	13	312	5	345	2.0e-30	128	COG1252	NADH dehydrogenase, FAD-containing subunit	405
637449298	730	24.13	377	713	16	313	8.0e-21	96.1	COG0709	Selenophosphate synthase	346
637449300	802	40.14	10	699	1	644	0.0e+00	519	COG0210	Superfamily I DNA and RNA helicases	655
637449304	211	24.76	10	211	16	219	8.0e-07	47.2	COG0398	Uncharacterized conserved protein	223
637449307	409	21.6	1	405	1	446	1.0e-34	140	COG1070	Sugar (pentulose and hexulose) kinases	502
637449308	413	60.34	1	410	2	387	0.0e+00	584	COG0192	S-adenosylmethionine synthetase	388
637449310	159	46.75	1	154	1	154	1.0e-45	175	COG1327	Predicted transcriptional regulator, consists of a Zn-ribbon and ATP-cone domains	156
637449313	120	30	1	97	4	95	2.0e-07	48.1	COG0633	Ferredoxin	102
637449315	289	39.45	73	289	67	277	3.0e-51	195	COG2890	Methylase of polypeptide chain release factors	280
637449316	194	30.21	9	194	19	206	3.0e-27	114	COG0009	Putative translation factor (SUA5)	211
637449318	106	45.78	7	89	3	83	2.0e-16	77.2	COG0851	Septum formation topological specificity factor	88
637449319	271	46.47	5	265	2	269	1.0e-82	300	COG2894	Septum formation inhibitor-activating ATPase	272
637449320	220	26.7	17	215	16	218	6.0e-20	91.2	COG0850	Septum formation inhibitor	219
637449321	419	30.79	3	410	2	407	3.0e-60	226	COG1078	HD superfamily phosphohydrolases	421
637449322	429	38.42	50	380	25	363	1.0e-69	257	COG0793	Periplasmic protease	406
637449332	292	39.59	1	292	1	273	3.0e-80	291	COG0266	Formamidopyrimidine-DNA glycosylase	273
637449335	463	28.91	26	435	56	466	3.0e-79	289	COG1012	NAD-dependent aldehyde dehydrogenases	472
637449343	510	22.66	2	500	1	484	1.0e-59	224	COG1233	Phytoene dehydrogenase and related proteins	487
637449347	96	35.29	3	87	1	85	9.0e-12	61.9	COG1826	Sec-independent protein secretion pathway components	94
637449349	149	38.96	1	147	4	156	3.0e-36	144	COG1225	Peroxiredoxin	157
637449359	113	29.47	6	100	2	95	2.0e-11	61	COG5470	Uncharacterized conserved protein	96
637449360	315	20.29	23	294	10	261	2.0e-19	90.1	COG0596	Predicted hydrolases or acyltransferases (alpha/beta hydrolase superfamily)	282
637449361	207	31.92	1	203	1	213	6.0e-36	143	COG0819	Putative transcription activator	218
637449362	262	46.36	1	259	1	259	3.0e-76	278	COG0351	Hydroxymethylpyrimidine/phosphomethylpyrimidine kinase	263
637449364	154	40.76	6	153	5	159	2.0e-30	125	COG3542	Uncharacterized conserved protein	162
637449367	133	21.1	25	133	10	110	1.0e-05	42.6	COG1846	Transcriptional regulators	126
637449369	125	29.35	9	100	5	96	2.0e-07	48.3	COG2044	Predicted peroxiredoxins	120
637449371	129	30.68	7	94	1	87	3.0e-07	47.7	COG1359	Uncharacterized conserved protein	100
637449374	561	28.12	156	490	3	328	5.0e-49	189	COG0715	ABC-type nitrate/sulfonate/bicarbonate transport systems, periplasmic components	335
637449375	260	35.41	1	256	2	250	9.0e-42	163	COG0600	ABC-type nitrate/sulfonate/bicarbonate transport system, permease component	258
637449376	284	49.17	39	280	14	248	2.0e-87	315	COG1116	ABC-type nitrate/sulfonate/bicarbonate transport system, ATPase component	248
637449377	147	55.41	1	147	4	151	1.0e-50	192	COG1513	Cyanate lyase	151
637449384	155	64.47	4	155	3	154	2.0e-54	204	COG3558	Uncharacterized protein conserved in bacteria	154
637449387	260	27.31	21	260	3	236	6.0e-22	98.1	COG2859	Uncharacterized protein conserved in bacteria	237
637449392	146	50.35	1	143	1	143	1.0e-52	198	COG0757	3-dehydroquinate dehydratase II	146
